metric	value
linked_functions	3
source_only_functions	0
body_bytes	280
body_concat_sha256	0b74f6f5656bfe25a9412b1dff7171be025a791ad0addbdef48c472f4e0986d1
physical_interval	[0x005D9F48,0x005DA080)
physical_bytes	312
physical_sha256	731244e0484db0daef87d3a5224d07640f46631a999ec6fab405b79518de599f
owned_literal_bytes	32
owned_literal_sha256	7c1135adb70b7fec8dade8d8b3f458b1bc4165e8cc00b3e1fb54d18740a8c11c
direct_bl_entry_sites	2
direct_bl_entry_digest	683bb2157d72c4c1a104ee94b78dc55bfbb535ddf61c5df817a5428614756a80
stored_entry_pointers	2
stored_entry_pointer_digest	61e8609f6cd5a03dfa92ec1fa2b27d2e31b1a33dc8eb975747cf802279359eb7
direct_body_call_sites	18
direct_body_call_digest	c0113d418db8d6292bdcfa1f283d449120a72b92b84dfa7d46f95a48c1fef74e
stored_strict_interior_pointers	0
direct_bl_strict_interior_targets	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\NV\service_nvdb_mac.c
record_address	0x200038E4
record_bytes	10
boot_record_hex	01000000000000000000
address_derivation	CRC32(CHIPID1_LE||CHIPID0_LE)[0:4] || CRC16_BE(CHIPID1_LE||CHIPID0_LE), with final octet &=0xFC then |=0xC0
