metric	value
retained_path	platform\service\flashDB\NV\service_nvdb_product_mode.c
linked_functions	6
body_bytes	270
body_concat_sha256	1bfe7d97d0352877f2563deaee8402758c6d79f816a9de19916bad5c46918584
physical_interval	[0x004ABD90,0x004ABEC8)
physical_bytes	312
physical_sha256	ff1ab9f69ab28b170f754280b7afa0073010217748706b238c21b3cc717addb4
owned_data_bytes	42
owned_data_sha256	41f66af2dd97ea8482ff3702a0414d97fd698b225f82a516c0bd186fea9ac2f4
direct_bl_entry_sites	54
direct_bl_entry_digest	8b85c8a4f26cf599c427ede08e8f91e9c1f0d30d7079483cb474f73dc86a3b2a
stored_entry_pointers	2
direct_body_call_sites	18
direct_body_call_digest	5713c9580d9c0c8796dec2cfbe365121e569e7b9ff9772ab47224609ff7af1ab
strict_interior_ingress	0
record_address	0x200038F0
boot_record_hex	01000000
initialized_crc16	0x2E3E
