recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	nvdbSysDtDefaultInitialize	inferred semantic name	0x004AEE28	0x004AEE3E	22	9f503b287f1267eb5f0875d35921851b74aebcd1cb50e64a5a54c03e1f81fa78	stored Thumb pointer 0x006D1EAC	computes CRC-16 over the first 38 bytes of the 172-byte nvSysDt factory record
2	_nvdbUpdataSysDt	exact retained symbol string	0x004AEE3E	0x004AF11C	734	861f74ec6afe45428e5d1dfe89c0baa258b1d6f5051d6b12da0fbd67442cdab7	stored Thumb pointer 0x0078F52C	retained path and symbol; audits the stored record, marks legacy PSNs, prefers the latest OTP PSN, and rewrites only missing/pre-v2-mismatched data
3	SVC_NvdbWriteSysData	exact retained symbol string	0x004AF11C	0x004AF73A	1566	f3c7717a96bd19716d32fde553b9eb4fa738e18a8b14c721a73ccf3efd1358a8	16 internal/exterior BL sites	13-way indexed update, version two, CRC over first 38 bytes, and whole-record persistence
4	SVC_NvdbGetSysData	inferred API name	0x004AF73A	0x004AF7B8	126	7fd3682543fbbd09fa7c3eeb72f4e7bc8648c4e84ff725002a8b0ef1df1788c0	7 internal/exterior BL sites	returns exact field pointers for indices zero through twelve and record base otherwise
5	SVC_NvdbReadSysData	exact retained symbol string	0x004AF7B8	0x004AF87E	198	2f2a9b3bcf0666493361da8b08830e52e0b20196328487c3043517d280442b83	4 exterior BL sites	reads 172 bytes directly into live SRAM, marks legacy PSN, overrides from OTP, and returns indexed pointer
6	SVC_NvdbparsePsn	exact retained symbol string	0x004AF8D0	0x004AFBB6	742	70907dd79604aa40eb32ceb8262146db672e668f3a128c1c42c2cda2bc1f0e74	internal BL 0x004AEE92	parses the 14-character PSN into project/manufacturer/color/year/month/day/serial diagnostics
7	nvdbSysDtManufacturerName	inferred semantic name	0x004AFBBC	0x004AFBCE	18	1cc4521522a4f20746e4f96e893ec669ad1c1e532be6a9a1179dda7b74bb7cd0	internal BL 0x004AF96A	maps L to LianHeGuangDian and all other codes to unknow
8	nvdbSysDtYear	inferred semantic name	0x004AFBCE	0x004AFBE4	22	2857535c47bc4d93ead4e206f9b260b5d3980f7ccf02d7b31938e5793ff58268	internal BL 0x004AF974	maps A through Z to calendar years 2024 through 2049
9	nvdbSysDtMonth	inferred semantic name	0x004AFBE4	0x004AFC0C	40	2248967f80abeb67b495e44f590774be088cf983a30d8a130a34b9d74d9ef847	internal BL 0x004AF97E	formats A through Z as decimal 1 through 26 in the shared month buffer
10	nvdbSysDtResetAging	inferred semantic name	0x004AFC10	0x004AFC64	84	e371ac29fd36ef0f2df1906e478f89c360ea64b1456bde0a07fc07ae1904fddf	exterior BL 0x00573DF0	zeros three 40-byte time payloads and selected status bytes while preserving total-times
11	nvdbSysDtMarkLegacyPsn	inferred semantic name	0x004AFC68	0x004AFCA2	58	00a304e237b6c213864883d83bc7dec26e25db76f4868135b23ae61066170255	internal BLs 0x004AEEA4 and 0x004AF7CA	compares live PSN with the exact 40-entry legacy-device table and sets a sticky flag
12	SVC_ReadPSNFromOTP	exact retained symbol string	0x004AFCDC	0x004AFF54	632	52ea0eac7a2bcb82b0cea1b9665fc57b845b086e03de4d5a57e3f172e6266042	internal BLs 0x004AEEB0,0x004AF7D4,0x004B00CE	scans eight 16-byte OTP slots at offset 0x340 and returns the last valid S2 serial
13	SVC_WritePSNToOTP	exact retained symbol string	0x004AFFC0	0x004B030A	842	86e34d465070b4776e029da8c43bf696fa6e246b8b6e80174dccc948531ffd96	exterior BL 0x0057343C	validates, deduplicates, and appends a zero-padded 14-byte PSN to the eight-slot OTP journal
