stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x0050F8CC	0x0050FBB6	1f2905b3bb13b4bc0c156b03be69127832f061093f8688c2678506a9ae888931	yes
0x0050FBB6	0x0050FC4E	3d5cc211faa199604bbb44df8ad9b21e12a68cd6143d95b6547b6a6e0ee8e704	yes
0x0050FC4E	0x0050FC86	52656963e14ecddccffef7f01759506c66bc5c1ea9d6753e6ca46205003fa9e4	no
0x0050FC86	0x0050FD1A	20f88857f7219a538e5679f1c32a40e0c4b6b09dd65a6bdf2e13ba482d0ea4bb	yes
0x0050FD1A	0x0050FE0E	37252e78e8354bd811a8cbedeae15d0efdbd44b4c25dffe8e6861ed2b2ef55ce	yes
0x0050FE0E	0x0050FE56	b2246cabf37a6abd2b217f449c76512fbb866868f96717a90f4513ab3094e27a	no
0x0050FE56	0x0050FE7A	75ae571248987bb692bf43de5f1db7457ed6df89e759cfd54483216109818dd8	no
0x0050FEF8	0x0050FF0E	2569903261092b11a2d32dfabea1e7a2223c6aae08089d403125230338722a98	no
0x0050FF0E	0x0050FF72	78d6a45630ccf2a8c8d5d10cffcdcdb35ae24b0bcf76485d7fb63d7fdcaf3329	no
0x0051008A	0x0051009C	4463659a5281f7b98ed90ee257455f1d0a9dd57e5e4ffaea10cf227d2e102f35	no
0x0051009C	0x005100A0	88faccae910433e717d3ca1ef7f17b29626b6b1d6d2648bb8f8558dff6752a82	no
