metric	value
retained_path	app\gui\onboarding\onboarding.c
linked_functions	12
ghidra_discovered_functions	9
additional_recovered_functions	3
path_anchored_functions	7
body_bytes	4136
body_concat_sha256	e64dd2dbff5d025d4a39083fbd38430578bf599084f6dca83ad6de7613cc9e21
physical_interval	[0x00467FF0,0x0046916C)
physical_bytes	4476
physical_sha256	0bf00373acb4c371e9e067880a6adf26192efdb5e745fed685b3caf253ffa1da
noncode_regions	4
noncode_bytes	340
noncode_concat_sha256	ca02be62085826488b4c15197466762738f7d99a345f902f047f2383317008dc
direct_bl_entry_sites	17
direct_bl_entry_digest	44f78bda026b15b315123bfb8bb16c85e4cacb5b1ac84c2702be2746239b83db
stored_entry_pointers	4
direct_body_calls	263
internal_direct_body_calls	10
external_direct_body_calls	253
direct_body_call_digest	3fd750dd072eb38357f4e8082720fa0e3963854e45fb37312813bbeda2655f2f
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger LVGL exact CMSIS-FreeRTOS osMutexNew bounded IAR memset and nanopb behind the closed onboarding protobuf service
private_producing_commit_observable	false
production_routed	false
