recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	entry_evidence	qualification
1	onboarding_get_style_bg_color	semantic behavior label	0x00467FF0	0x00467FFE	14	34671be31809d4bfd9bffad036577a26c21a1eea9d9008df01fb4300cc2ca299	no	internal BL at 0x004680D8	reads LVGL style property 0x31 for the recursive darkening pass
2	onboarding_get_style_image_recolor	semantic behavior label	0x00467FFE	0x0046800C	14	fbc341ee48edc01fd276693abbaf830900564fc78d2d1b493323e1980b3fd5d2	no	internal BL sites 0x004680F4,0x004682CE	reads LVGL style property 0x58 for the recursive darken and resume passes
3	onboarding_saved_color_state_reset	semantic behavior label	0x0046800C	0x0046801E	18	e5c0fd7989c67f40016352d2a4da864543e7b56131d9985292948ea8c9e5931f	no	BL site 0x005850D2	clears the eight-byte saved color-state record
4	onboarding_process_mutex_init	semantic behavior label	0x0046801E	0x00468034	22	5c59310344814c496cc5ce17a6206149e39e660eadd4aa5442f8159a35096488	no	internal BL sites 0x004684D4,0x00468F72	lazily creates the process-record mutex through exact osMutexNew
5	onboarding_should_run	semantic behavior label	0x00468034	0x0046805A	38	d7fa43734e4a55e08f2f92a5ea5631dc9806c3a5aac4ef0252d3356011e6356b	no	seven external BL sites	returns true for a set onboarding flag or the role-one display-ready combination
6	onboarding_check_start_disp	exact retained diagnostic symbol	0x0046805A	0x004680C8	110	426c14c3ac0d85378c654356f1b130b5fedfed418d3f13ab9a181e44b90737fb	yes	BL sites 0x00468824,0x0049EC2E	requests onboarding display startup when the flag is set but the current role/display state cannot show it locally
7	onboarding_darken_widget_colors_recursive	exact retained diagnostic symbol	0x004680C8	0x004682AA	482	5cc46908b0cdb920388805e92bdbc52a328ffc1b5f93316296a4b4c0294a91bd	yes	internal and stored-callback caller	applies dark text image recolor or opacity recursively across the LVGL child tree
8	onboarding_resume_widget_colors_recursive	exact retained diagnostic symbol	0x004682AA	0x00468484	474	5f0828ce6e9455aeb4c046f95f2cbbad72f621e132e8669ff4687003b2c0d326	yes	internal and stored-callback caller	restores white text image recolor or opacity recursively across the LVGL child tree
9	Onboarding_common_data_handler	exact retained diagnostic symbol	0x00468484	0x00468A30	1452	5de245971eb827cdd9bc5ebfc81856fb768371b54dced58737827c24db9394fb	yes	stored pointer at 0x006A45A4	validates and dispatches onboarding protobuf/common-data commands and synchronizes flags process state and peer replies
10	onboarding_ble_status_callback	exact retained diagnostic symbol	0x00468A40	0x00468C24	484	ee891be22056d06bb8dd9aded5d923bc102e3ca10e1d65ccf3a46bd80f604dfe	yes	stored pointers at 0x00469150 and registration path	validates BLE status and saves or restores onboarding process state across disconnect and reconnect
11	onboarding_page_event_handler	exact retained diagnostic symbol	0x00468C68	0x00468F04	668	9820e249d9cad881b01ccdecbb8b63773b96606a6a2a39a217eb569c8c9ab200	yes	stored pointer at 0x00793670	dispatches foreground page events including darken resume startup and peer synchronization actions
12	Onboarding_ui_event_handler	exact retained diagnostic symbol	0x00468F24	0x0046908C	360	5b75dede16373c565ca3aa3c5cfa5b746c3b0e684bd1ea8c6461c7170d185723	yes	stored pointer at 0x006A45A8	initializes and tears down onboarding UI state and BLE-status callback registration
