metric	value
retained_path	app\gui\onboarding\onboarding_data_manager.c
linked_functions	7
ghidra_discovered_functions	7
additional_recovered_functions	0
path_anchored_functions	5
body_bytes	826
body_concat_sha256	ca1560d997fdc060d219ab3a70ad212e296aea62e641ffaa5140f457be91cae1
physical_interval	[0x0047E2D0,0x0047E674)
physical_bytes	932
physical_sha256	9489f7981e88888561acf50944360b7ad38fa15ea82248b919b2792cd4336ef6
noncode_regions	1
noncode_bytes	106
noncode_concat_sha256	8c3b1348e9a2780b1c02fa2be5ec75ab04b071d4a6e41497c1cc1339b8a7766d
direct_bl_entry_sites	11
direct_bl_entry_digest	e049694adf90f181685403ce538b40ece30b0fc12267c2be1e2757e4144ced16
stored_entry_pointers	0
direct_body_calls	52
internal_direct_body_calls	0
external_direct_body_calls	52
direct_body_call_digest	114d6d816431c8964b535c7d5813d6bfbd9f0c703378a0b8cb8383040e94f99e
indirect_body_calls	0
raw_bl_like_compressed_data_decodes	1
strict_interior_code_ingress	0
third_party_dependency	EasyLogger exact CMSIS-FreeRTOS mutex and event-flag wrappers bounded IAR memset and nanopb behind a closed first-party protobuf encoder
private_producing_commit_observable	false
production_routed	false
