metric	value
retained_path	app\gui\onboarding\ui_onboarding_news_page.c
linked_functions	35
ghidra_discovered_functions	35
additional_recovered_functions	0
path_anchored_functions	19
body_bytes	9346
body_concat_sha256	c7d787866bf0de56a149c60ea18d5e717866420d6b6e3d9ddfd27c358b74ccd4
physical_interval	[0x0050A094,0x0050CA24)
physical_bytes	10640
physical_sha256	e037ab6c2c7f120b620c816743dfec986a79a5e204e781bfca2d2b23c597670b
noncode_bytes	1294
noncode_concat_sha256	59f5c65b8e6bc63d003011c460deece8a3f72dcf6b300aa2f6088ffa35cb9532
reachable_instructions	3494
reachable_instruction_digest	96e035ac5eb944688c5555703d781dceb8603623777367deb59cf7871e1c203f
direct_bl_entry_sites	85
direct_bl_entry_digest	cb4e252c21ff150809283269148f6a18918cf5ee11e66ee67529cfb228c5463f
stored_entry_pointers	1
direct_body_calls	544
internal_direct_body_calls	74
external_direct_body_calls	470
direct_body_call_digest	f84b0dd5aa88f2f522299ea7cc42407e2615933e84989f0d9b9c52c0ecf0e16e
raw_overlapping_pseudo_bl_sites	2
qualified_strict_interior_ingress	0
indirect_body_calls	0
third_party_dependency	LVGL EasyLogger exact CMSIS-FreeRTOS mutex wrappers bounded IAR DLIB and source-owned ARM EABI division
private_producing_commit_observable	false
production_routed	false
