stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x0050A094	0x0050A47E	077469d55cc0b8ded04bf89dc825b179c2ec573b00859487a93c9e62d0fc3172	yes
0x0050A47E	0x0050A4EE	58e84b82d3a2dc45bb2a1cc105bec70edb45a593d571382428b1db99e368feee	yes
0x0050A4EE	0x0050A670	8e312e67bc11f08df099033513173a9054fb66f4c6a34568f1d64517f0fb57bf	no
0x0050A670	0x0050A9C2	d6a6dd912dd600499dabf268032099ea15e631c0cc47954937c821ebe69b321d	yes
0x0050A9C2	0x0050AAF0	82f9f3337926eba0850f82942dea1816686fb3fd2ab55735da5bd130b8da638e	no
0x0050AAFC	0x0050AC18	ba47294f120de0447564ecbc415c36f0bdb2ef22b27db3df1eda28050ffbd3df	yes
0x0050AC5C	0x0050AF46	a7fe590c7cb86f23a42376a6048fee6db3c5dcc5cf9339469b1c0f4476ae05f5	yes
0x0050AFA4	0x0050B03A	9113188fcd0e204c6c15784b408548c5cdef64600f0e80a11f24236c9f520ff6	yes
0x0050B054	0x0050B14A	958cc5e534890f1491c4de44582c320f2f17c478778bb376c32536d26ea709b1	yes
0x0050B168	0x0050B180	1b4743e7a4cbcbd1da4b88d2bbd811068db046e0ec914f8b8e98d6a223d450fc	no
0x0050B180	0x0050B18C	fcdbe2615182f8c17a414aef065f097670cecbf7384aeef69e4e1190f24be932	no
0x0050B18C	0x0050B19A	13878b65a29c7b155c936ef3167bd87aadb4b57aad23c0aa549189f37eb2cdf1	no
0x0050B19A	0x0050B1AC	fd06e1e9f0c2b71f7edac077d0eb230e4d9bbd27dd85190f3944c7a287e7a6c0	no
0x0050B1AC	0x0050B1B8	3ed49e78f055c3d9163f869693be200a99a2454598775a37f588ea1f23f21822	no
0x0050B1BC	0x0050B428	d2bd26caad030e09f362e78f57c361953650f78ae67cc0bdbd5c2a5048d62cd9	no
0x0050B438	0x0050B5D2	21594b5516e7199578ce78f01163b0c239ebdb002fc2519e46d2972f19f04803	yes
0x0050B5F4	0x0050B718	d3400dcef71d74cd72888cf1782169c028de1e149f2f2f11d029c184c4f6da0d	yes
0x0050B744	0x0050BA5A	974d7f0e709c173a197edb2b2efd0afa5321643e83b0e954607e649cf4dc2e6c	yes
0x0050BA64	0x0050BD1A	dd3bc3ec7947881f04b9b356b646ec44e30a14c7290ca39562e2216e9e56e1c2	yes
0x0050BD1C	0x0050BE4C	93d45a69b3d17067435a7e73faf4a0882a7f761348ff06590a3368afe312d14e	no
0x0050BE4C	0x0050BF96	295020bde93321ecce003f958ed1f38be3fd6dd02701ea46752a4f82f34cb036	yes
0x0050C1C0	0x0050C27C	39d2a2387ca8a4e1a3db47f4caef4b35cc5264579901fd992027fc152b743a26	yes
0x0050C288	0x0050C2EE	4b9dd8ff3c28a9464b8e1ef142d04a334ec533b045f189aabaa7a2775b993ca8	yes
0x0050C314	0x0050C3BC	7d902b8db6072564bf874f3c99c4bebabff38dae598518a757559b4578ed7dc2	yes
0x0050C3C0	0x0050C3E8	c67e3ed9d2ae93859b39bd4a14dc1f16fd8a6f198be6606d87bd2ca4a56d4162	no
0x0050C3F4	0x0050C476	3be29c2a3d2599eaef753dab660ee9676981a3c4d801ecc2ea85182c6d261fd9	yes
0x0050C476	0x0050C4A2	8b81c6e444b37845eaa1e901fa11ed5399ba039e8895c6d8e41fb59ceca17103	no
0x0050C4AC	0x0050C51A	1ca96aade2365d64b377b454db60fd157a12b466b52eea306744339670d6077c	no
0x0050C528	0x0050C646	764ef718bff7c8e07145f59b22467986cded1bdca4e5fba63688086b42cd33c4	yes
0x0050C654	0x0050C6B6	de16b90d880a16b1469c894a4b1d5a089c73ff7c38ec2f84107599aab5a202d4	yes
0x0050C6CC	0x0050C6E2	504a36df298a5d5c9e8168c7f9bd366f14c8d55174ba2e7c7dc0ac6b16eb15cd	no
0x0050C6E2	0x0050C762	6c8c2df801a8fd6381aa700294ce0b4fab965221c913a7f737afaeeac5ead757	yes
0x0050C7A8	0x0050C862	355c55faabf95991aeef26218ed563a20fcde49728e60d83cb454322a32dd083	no
0x0050C868	0x0050C8CC	818a4b0f698525e45aceb3d8625dbf488a6dc9ec785003b99c4fc7e3535a97eb	no
0x0050C8CC	0x0050C95E	6e8b0520dc0cdb5d29981df5901ee795d8b1de41d1bcce8c38e5c702bc685d23	no
