metric	value
retained_path	driver\sensor\als\opt3007\opt3007_registers.c
linked_functions	1
path_anchored_functions	1
body_bytes	340
body_concat_sha256	fbb377cf7dba5a38159ad329b08edf9e8b9c949ab35a5b5d926fb492780bfdb8
physical_interval	[0x005135E0,0x00513748)
physical_bytes	360
physical_sha256	3413758945a068997bbe9ed899112cf9b5954399fb088ee6e30215c8866023f8
outer_pool_regions	1
outer_pool_bytes	20
outer_pool_concat_sha256	fe506ad315d09f6f04ba78388c1b6731d7767a0941ddd41e8ffb260d461004b0
direct_bl_entry_sites	2
direct_bl_entry_digest	838da3911681ed615eb840ff6831f0717be36ef8feaef2dd1497204c12f93927
stored_entry_pointers	0
direct_body_calls	5
internal_direct_body_calls	0
external_direct_body_calls	5
direct_body_call_digest	0fe457f60501d1743d8049ec6da92e62b2fc719f2f5a196387b9ef040edf2f47
indirect_body_calls	0
unrecovered_direct_object_targets	0
third_party_dependency	TI OPT3007 SBOS864 register specification and admitted EasyLogger only
historical_source_available	false
public_source_fingerprint_match	false
private_producing_commit_observable	false
production_source	components/apollo_main/core_overlay/opt3007_registers.c
production_source_bytes	1791
production_source_sha256	b58491eaa417f6edd48679112886dbb894c6e92e58d2a14b5aab2dbe2dae6844
production_function	open_cfw_opt3007_assign_register_map
production_routed	true
production_compiled_text_bytes	224
production_alignment_bytes	0
production_strict_relocations	0
production_stock_body_replaced_bytes	340
production_official_pool_retained_bytes	20
production_null_pointer_safe	true
production_hardware_validation	blocked by unavailable authorized responsive G2 pair and live OPT3007 bus evidence
