metric	value
retained_path_anchors	12
restored_pathless_functions	13
linked_functions	25
anchored_body_bytes	14482
restored_pathless_body_bytes	912
body_bytes	15394
body_concat_sha256	2e6d2e90187fdd801af4f898a486524d2a03b64ba10a7cee6958c505ff76e3f1
physical_interval	[0x004448F4,0x004488EC)
physical_bytes	16376
physical_sha256	b58c8256ffee83bc9af1e920be4ba419f46e19695823a71dc8dc21c16be21acd
owned_gap_pool_regions	17
owned_gap_pool_bytes	982
owned_gap_pool_sha256	60df545c40e9a17fbe5fae49b7942a9ae23b84f140731d1c05c74f9e2b8a9194
retained_path_pointer_cells	7
exact_retained_symbols	12
direct_bl_entry_sites	107
external_direct_bl_entry_sites	39
intra_object_direct_bl_entry_sites	68
direct_bl_entry_digest	c1a4339a12650222a09af64f1b757f215bb9a52a7a526e461ca6c00630fadb90
direct_body_call_sites	855
direct_body_call_digest	5988d7f1e0e3a2374e2a1edc3edaeffe82aef07f2d4289c00b18bd6a6a01ebcf
direct_strict_interior_targets	0
external_b_w_entry_or_interior_targets	0
intra_body_b_w_targets	14
intra_body_b_w_digest	fefd18abb88336fea22ec8dd1822a34387dbee25084ceaf6416b03a9131b0225
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	81
raw_entry_or_interior_byte_window_digest	28678acd5adbec9c8ad588919dba2f5133276520cfa22e4341cf84ca8a39508a
retained_path	platform\protocols\ota_service\ota_service.c
source_inventory	unavailable; linked object complete but historical source-only count unknown
production_routed	false
ownership_bytes	0
