metric	value
retained_path	platform\protocols\ota_service\ota_transport.c
linked_functions	3
body_bytes	2004
physical_bytes	2292
status	closed
production_candidate	components/apollo_main/core_overlay/ota_transport.c
production_source_functions	3
production_compiled_text_bytes	1300
production_alignment_bytes	2
production_strict_relocations	14
production_stock_body_bytes_replaced	2004
production_retained_pool_bytes	288
production_routed	true
software_functional_gap	false
hardware_validation	blocked
hardware_blocker	No authorized responsive G2 peer and OTA receiver are physically available for live C0/C1/C2 framing, retransmission timeout, callback timing, CRC-failure, and disconnect/recovery evidence; the authorized right temple is nonresponsive and the left temple must remain stock.
