stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered
0x0045EC7C	0x0045ECAE	50	d671d723c55649ff9a88242532dade2860964716fd80dbd7e03aab259b65c4f3	no	yes
0x0045ECAE	0x0045ECB6	8	1ca62f29db5843b00e36e062d0ea3acf324fa6f843c9c2c86f0be239745201c6	no	no
0x0045ECB6	0x0045ECBE	8	063f9fe1bb1bf302176c608da9ce6f90b65dcc1aa940386ea80c0fe01d3e22da	no	no
0x0045ECBE	0x0045ECCA	12	8074265793b7ff6f87a98acc65bd99dd9e92c9cc53d802e934e3d87f98587624	no	no
0x0045ECCA	0x0045ED4E	132	93e399b361ad55c5d59f6abbb5c2263967d66d81c5022c29b9cfe901b753c62d	no	no
0x0045ED4E	0x0045ED90	66	e24b14257d25b09fa6b752e9d2e35d50723fd9c8000f660ef02c68126ca63924	no	no
0x0045ED90	0x0045EE34	164	2108528b1c81269756d7add7f14d97f1503a3729999c254624bcdb1f0763f7d4	no	no
0x0045EE34	0x0045EF24	240	21ff22b7566bcaf11a85497276c68b38686ce3ea5a06fd3d450973ee832b1359	no	no
0x0045EF24	0x0045F15A	566	92875832c9706eaa299cc21f0bf906e35ca1589dd5465f1d61cf33d077d31584	no	yes
0x0045F15A	0x0045F3C2	616	7943b7112816f1fb11bb4be5141bcc5e14f64bcf933571e4e7dbb02c449c2abb	yes	yes
0x0045F3C8	0x0045F58C	452	2da43486fa262d8156cf05c8eb96ad1e18826b167198e1ec4b681561df4a89a0	yes	yes
0x0045F58C	0x0045F60E	130	040d5ec35d0f4d8d8ea7361791688d10f0da7179ffd5b3be32432da6f42cc566	no	yes
0x0045F60E	0x0045F66A	92	82a897afce5fda21c0d81a0b4adb8a88c2d57faaeb033f599c80b63d8fe7f92e	no	yes
0x0045F66A	0x0045F676	12	8987502d23b075cd7b3fb641dd1672a26063df7256c659cc3816f1be5e05fe19	no	yes
0x0045F6A8	0x0045F6B4	12	52da3be9e77a64ae55928264f6f8b955294a7603e3dbcfaefab3b4150b2b52b3	no	yes
0x0045F6B4	0x0045F6C0	12	cecadc16a3f7c43367f20137a8145aa56a55e6e08d3a6dafafbe1e20e80d7668	no	yes
0x0045F6C0	0x0045F6DA	26	7f6daf81752a060c95d6c77290b64d4eb5d19efd2dd47aec3ee545b16c6695a2	no	yes
0x0045F6DA	0x0045F6EC	18	ee6f62589612c31527081697e015162782fa0fc7dba5aa17a6f481e993002796	no	yes
0x0045F6EC	0x0045F706	26	427820a34c227693205eed91d34594920ddc4821a8f71f69b76bd8364f6bf246	no	yes
0x0045F706	0x0045F73A	52	8362f9e0dd96085cc6a349748a814fddeaf01f350d551f5989be86a53ae85966	no	yes
0x0045F73A	0x0045F7BE	132	a311e322c7786f8d965fbc77fd7c356ae72199129eeef878a64536f602d898cf	no	yes
0x0045F7BE	0x0045F840	130	d0092d962ce9bfa14f60374730ec3ff5b463c475bff13709746817cfdd190df6	no	yes
0x0045F840	0x0045F876	54	04cd87f96b47ac24979111db6e35ef1c107c7ed79aaff400df3169fa43948cd3	no	yes
0x0045F876	0x0045F8A4	46	5ef0451d7e74f9e7d2893ff2fbe67493a83e46c2d2fe99b7c0840974996e3376	no	yes
0x0045F8A4	0x0045F8BA	22	a41e14a9ec3df0e2d8ced4f7cefb41869fcddbd8a6f735e7590348ad824e78e3	no	yes
0x0045F8BA	0x0045F8D0	22	143a6ef6ab67cac532a95d891950707b4942029180b7239499ea56a236f42b60	no	yes
0x0045F8D0	0x0045F8E6	22	1701fb70fa1878c3870ef3e4d191d349b40a9e4e1613a851ad6c14df677198f0	no	yes
0x0045F8E6	0x0045F8FC	22	1701fb70fa1878c3870ef3e4d191d349b40a9e4e1613a851ad6c14df677198f0	no	yes
