metric	value
linked_functions	6
body_bytes	1776
body_concat_sha256	a5a3e25703df5244595d88d3c2653a814fcd43854f059ea5dce3b2a9af0c2fce
physical_interval	[0x005B1B4C,0x005B22BC)
physical_bytes	1904
physical_sha256	8973bc2f23588773f4ce41491809689c35bbe7f1f835bf5b21c038a5c657e841
owned_pool_bytes	128
owned_pool_sha256	fc31e0445401528eb108e36d401ac1f290153a7f9ea1afc9599a348873dc9153
direct_bl_entry_sites	10
direct_bl_entry_digest	6fcc3dfebf5af553422cdf012699d59fc88355531fbf21bdc8ca91756aff6eb3
direct_body_call_sites	96
direct_body_call_digest	48540779e8e309d4057f409f72426e412efab45e628c373aa25820ba4bf65940
direct_strict_interior_targets	0
direct_b_w_entry_or_interior_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	0
retained_path	platform\protocols\pb_service_conversate\pb_service_conversate.c
source_inventory	six linked stock entries plus two source-only bounded memory helpers
production_routed	true
ownership_bytes	1776
production_source	components/apollo_main/core_overlay/pb_service_conversate.c
production_source_functions	8
compiled_text_bytes	1098
generated_alignment_bytes	8
strict_relocations	33
stock_function_bytes_replaced	1776
retained_literal_pool_bytes	128
software_functional_gap	false
hardware_validation	deferred by project direction
hardware_evidence_required	authorized live G2 service 0x0B master/peer BLE and conversate UI evidence must be collected during future qualification; the authorized right temple is not under test because qualification is deferred by project direction and the left temple must remain stock
