metric	value
linked_functions	25
body_bytes	8404
body_concat_sha256	ecd0001396802c71a88baa787a818f2344cd94403d81b7603eefbf6393a9a6f6
physical_interval	[0x004E31CC,0x004E54C8)
physical_bytes	8956
owned_gap_pool_bytes	552
owned_gap_pool_concat_sha256	6c01debe83935542a43981a122f1a505f1fcb42806a0e40676ec5af895d7638c
physical_sha256	d69f6c3ad3c31b07005e0f0f6da22f3c0be4868dbfbe1eb16b1b6549b35e8fed
assertion_record_interval	[0x00781C30,0x00781DF4)
assertion_record_bytes	452
assertion_record_sha256	93bb57159581ef073bdc9865eb7897af6f3094964ae110fa9597e92b696eb590
direct_bl_entry_sites	26
direct_bl_entry_digest	bce7ab8b9409fdd7caa354b8fc2c12e0dde3c73d860a3dd1db91c4a52b6207c2
direct_body_call_sites	494
direct_body_call_digest	a4ac098fc90b52056476bb17ee0515c2656cc20d936f486d6b5ab36b3c5c2af6
direct_strict_interior_targets	0
direct_b_w_entry_or_interior_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	89
raw_entry_or_interior_byte_window_digest	26d9c020eecdc25d56963d56d3155aaeef47045c20f14c61a8547b8b370ddf46
retained_path_pointer_cells	28
retained_path_pointer_digest	3e45df272f917fbde83635a6468ea375c74a2c7f136fea59ba935c7b01116fb4
retained_path	platform\protocols\pb_service_even_ai\pb_service_even_ai.c
source_inventory	unavailable; linked object complete but historical source-only count unknown
production_routed	false
ownership_bytes	0
