rank	retained_path	anchored_functions	min_body_start	max_body_end_exclusive	anchored_body_bytes	path_string	pointer_cells	qualification
1	platform\protocols\pb_service_translate\pb_service_translate.c	4	0x0059F53C	0x0059FA68	1324	0x006DB4E8	1	smallest anchored body sum; selected next closure
2	platform\protocols\pb_service_glasses_case\pb_service_glasses_case.c	4	0x00510A0C	0x00510F5C	1360	0x006D7B1C	4	near-tied bounded follow-on
3	platform\protocols\pb_service_ring\pb_service_ring.c	4	0x005CE1DC	0x005CE72E	1362	0x006E1264	3	near-tied bounded follow-on
4	platform\protocols\pb_service_conversate\pb_service_conversate.c	6	0x005B1B4C	0x005B223C	1776	0x006D942C	1	retained-path lower bound
5	platform\protocols\pb_service_teleprompt\pb_service_teleprompt.c	7	0x005885B4	0x00588CF2	1854	0x006D9634	1	retained-path lower bound
6	platform\protocols\pb_service_even_ai\pb_service_even_ai.c	7	0x004E35FC	0x004E4E4A	2406	0x006DE0D4	28	path cells also occur outside anchored body set; fail closed
7	platform\protocols\pb_service_terminal\pb_service_terminal.c	13	0x005CE7C4	0x005CF1BE	2554	0x006DB484	1	retained-path lower bound
8	platform\protocols\pb_service_dev_config\pb_service_dev_config.c	3	0x004D83D8	0x004D8EAA	2646	0x006D9494	3	few anchors but large first body
9	platform\protocols\pb_service_health\pb_service_health.c	7	0x0055A558	0x0055B20A	2768	0x006DE134	10	retained-path lower bound
10	platform\protocols\pb_service_setting\pb_service_setting.c	9	0x0049B198	0x0049BF98	3016	0x006DE2B4	2	retained-path lower bound
11	platform\protocols\pb_service_onboarding\pb_service_onboarding.c	9	0x004A78D0	0x004A84D2	3024	0x006D95CC	9	retained-path lower bound
12	platform\protocols\pb_service_notification\pb_service_notification.c	9	0x004D6BA8	0x004D78E8	3318	0x006D7B88	9	retained-path lower bound
13	platform\protocols\pb_service_dev_config\pb_service_dev_setting.c	10	0x00542DC4	0x00543B88	3432	0x006D94FC	22	retained-path lower bound
14	platform\protocols\pb_service_quicklist\pb_service_quicklist.c	10	0x0055894C	0x00559778	3468	0x006DB358	11	retained-path lower bound
15	platform\protocols\pb_service_dev_config\pb_service_pair_mgr.c	17	0x004BB3DC	0x004BCF9C	6536	0x006DB290	26	largest anchored body sum
