metric	value
linked_functions	4
body_bytes	1360
body_concat_sha256	39f291afe8bb87e933c35c4d28ed0a66f7f925dcdb0ca765b2bf3562f25e2472
physical_interval	[0x00510A0C,0x00510FD8)
physical_bytes	1484
physical_sha256	ac1926863f4700afd938a0f9d234c3a6c0be103f327f591c7cc066d13be61bf2
owned_pool_bytes	124
owned_pool_sha256	e6e942104a74517b41485867b0b592911951af365363935b324d92110a362de1
direct_bl_entry_sites	4
direct_bl_entry_digest	8b88414a2a4ea904a86c373f4489b4925766a5ba0942d815639a37690086ea2b
direct_body_call_sites	86
direct_body_call_digest	ac3635c1e3013186a5d1f9cada25caac3e1089d399281468c5e3e6da88d8ef25
direct_strict_interior_targets	0
direct_b_w_entry_or_interior_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	6 instruction/data-byte overlaps
raw_window_digest	8dc7a9779381da6b39105f4564beb7fe749aa1f578dc0bfb91eccb70dfe543a4
retained_path	platform\protocols\pb_service_glasses_case\pb_service_glasses_case.c
source_inventory	four linked stock entries plus one source-only bounded nanopb output callback
production_routed	true
ownership_bytes	1360
production_source	components/apollo_main/core_overlay/pb_service_glasses_case.c
production_source_functions	5
compiled_text_bytes	546
generated_alignment_bytes	10
strict_relocations	16
stock_function_bytes_replaced	1360
retained_literal_pool_bytes	124
software_functional_gap	false
hardware_validation	deferred by project direction
hardware_evidence_required	authorized live glasses-case/temple BLE service 0x81 exchange or physical case-state evidence must be collected during future qualification; the authorized right temple is not under test because qualification is deferred by project direction and the left temple must remain stock
