metric	value
linked_functions	8
body_bytes	3092
body_concat_sha256	13f8aad04ac998d93e5ce8c836cdbaa7633fbe0ab128a9a6395e2fe7665bb6dc
physical_interval	[0x0055A558,0x0055B2A4)
physical_bytes	3404
physical_sha256	9020db98fd11e16ce082853f8556a94795330c4f1f178ab6765685c1438ff1ab
owned_gap_pool_bytes	312
owned_gap_pool_sha256	c2d3d3d79212fe12b139f420b07a3ad907f1ae391290b68a9a1ee0177d289d87
assertion_records	8
assertion_records_sha256	d60ee030f371c3c3032c4833556e1c7b94ed29195b021900664d795e0cc00d88
direct_bl_entry_sites	8
direct_bl_entry_digest	797890f14acfc2883c146beb1177aafba703e12f47a1817d25bd302fd0953e4e
direct_body_call_sites	180
direct_body_call_digest	1103059660848fa4b2c83c7b8f73ec9e786f5f02b464f4d830398e010e9b2346
direct_strict_interior_targets	0
direct_b_w_entry_or_interior_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	1
raw_entry_or_interior_byte_window_digest	b8a3f10b322ed0b9e0394b16f55df14f16aedbe57bf411523a6a6d90359b641f
retained_path	platform\protocols\pb_service_health\pb_service_health.c
source_inventory	clean-room production source available; historical source-only count remains unknown
production_routed	true
ownership_bytes	3092
