recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_callers	evidence
1	PB_RxSecAuth	exact retained assertion symbol	0x004BB3DC	0x004BB576	410	d511610e6d1b4a41a81962b7b3fa41ebd47f72c006a0f3122e028e43cd338a69	0x004D861E	processes security-auth state and schedules encrypted notification
2	PB_TxEncodeSecAuth	exact retained assertion symbol	0x004BB576	0x004BB73A	452	d8606929d1f3cdc0851d1119bce63569bded40e1c9d2b7a714495879547f742d	0x004D863A	encodes command 4/tag 3 over service 0x80
3	PB_TxEncodeNotifySecAuthImpl	exact retained function string	0x004BB73A	0x004BB92A	496	987a55219f52ea63ec646f10eb03b6529756fae6caeb75ccc2889e462e135e1c	0x0046EC38	allocates and sends the security-auth notification
4	pairMgrSecAuthFlagSet	semantic helper name	0x004BB9B4	0x004BB9BC	8	f65c85f0c87b611a58fd1b772f44b5459f6c91ad12b450db206ac4c5ed8466a7	0x004B772A,0x004B77C8,0x004B7B9C,0x004BB52A	stores the byte at 0x20074FFC
5	pairMgrSecAuthFlagGet	semantic helper name	0x004BB9BC	0x004BB9C4	8	9923d4b5ef118c768f867ab32b6fa2ded50aa5b1acf3348b00ea5b75a5b4f12e	0x004B7B16	returns the byte at 0x20074FFC
6	PB_RxPipeRoleChange	exact retained assertion symbol	0x004BB9C4	0x004BBAA0	220	0a85f39d744c52452cfc450742dab805786ff5719ff354c98c41d0f856be6fda	0x004D868A	applies the requested pipe-role transition
7	PB_TxEncodePipeRoleChange	exact retained assertion symbol	0x004BBAA0	0x004BBC54	436	beb3d89e77a4027ced42da2f4e5f14f0d9a8410d33434365c8e3a20a78456533	0x004D86A6	encodes command 5/tag 4 over service 0x80
8	_PB_RxRingConnectInfoOwnerExecute	exact retained function string	0x004BBC54	0x004BBD96	322	8a072a42596b8ad56435ba6346cfa2eb796f09ecba857d0929da94d3df06be6d	0x004BBF22	executes owner-side ring connection policy
9	_PB_RxRingConnectInfoCommon	exact retained function string	0x004BBDBC	0x004BBF2A	366	48e22305d597081c0ce6d23af5c4ad998e0845e2a05020a699e6e9ffaa6b16f7	0x004BBF3E	validates and routes common ring-connect processing
10	PB_RxRingConnectInfo	behavioral exact name	0x004BBF38	0x004BBF44	12	26005622715bb18b39bc2618cfc6445597864f56bbbc661d19cddd7514090b71	0x004D86F6	public wrapper for common ring-connect processing
11	PB_LastTxEncodeRingConnectInfoTimeSet	exact retained function string	0x004BBF44	0x004BBF94	80	88421941301a48ab1bd7d6bc80059a6eddb1cc6a38df4e66087d3655d1a08e23	0x004B7730	updates or clears the ring-connect throttle timestamp
12	PB_TxEncodeRingConnectInfo	exact retained assertion symbol	0x004BBFBC	0x004BC188	460	d9135e00f7fcd2c5d75c08cd511c8094a4cdc223f66ce38cd49db05b2dee2253	0x004D8712	encodes command 6/tag 5 over service 0x80
13	PB_TxEncodeNotifyRingConnectInfoImpl	exact retained function string	0x004BC1B4	0x004BC414	608	cc7f631720eafc4f9000714eaf9f18a83c786981f5beb275f75818819fc6460e	0x0046ECE0	allocates and sends the ring-connect notification
14	PB_TxEncodeNotifyRingConnectInfo	exact retained function string	0x004BC418	0x004BC4A2	138	a2c732a1b87183d5dfdebc5a7c967318108cb23a09fed4106c88eae9849e50a0	0x004729D0,0x0049F54C,0x004B7D02; six stored Thumb pointers	enqueues the ring-connect notification through the BLE handler
15	PB_RxBleConnectParams	exact retained assertion symbol	0x004BC4BC	0x004BC5A2	230	96350283019aded60a9f79a031cee64fa42d4ca914accca1555b858531b6eecb	0x004D8762	applies the requested BLE connection-parameter mode
16	PB_TxEncodeBleConnectParams	exact retained assertion symbol	0x004BC5C8	0x004BC786	446	6d20ef04009e9ecedc800aaaa868729084e18b92aab4586fa6c9a2cb5c7a89c0	0x004D877E	encodes command 7/tag 6 over service 0x80
17	PB_RxDisconnectInfo	exact retained assertion symbol	0x004BC7D4	0x004BC90C	312	c736b2af948d1e726f9617ec6ecdf63c722d610fcd6363959757cf29ad43fa21	0x004D87CE	clears connection policy and schedules disconnect handling
18	PB_TxEncodeDisconnectInfo	exact retained assertion symbol	0x004BC93C	0x004BCB04	456	54ec5aa2325fa00d339f15262559d8bea1958d46c65db7182433d12937e2be67	0x004D87EA	encodes command 8/tag 7 over service 0x80
19	PB_RxUnpairInfo	exact retained assertion symbol	0x004BCB28	0x004BCDD8	688	eb855d64847b136be8cdbdf01b9030507ca5bf6251fcca61efafe073d827c1ca	0x004D883A	validates ring MAC data and executes unpair cleanup
20	PB_TxEncodeUnpairInfo	exact retained assertion symbol	0x004BCDFC	0x004BCF9C	416	f58bcfc934be6cb28701e4fae4ba5141a67a5ac09d514c926464cd7f2215ecf5	0x004D8856	encodes command 9/tag 8 over service 0x80
