metric	value
linked_functions	4
body_bytes	1362
body_concat_sha256	6bf1505dabaea4b5a7a4d4708729bf96cd61dba84b7bfef4a15b0224732f2be7
physical_interval	[0x005CE1DC,0x005CE7C4)
physical_bytes	1512
physical_sha256	2e570db8cab30734f3a547a7ad4dfa704d167010710fa5a925d465dc4e81348c
owned_tail_bytes	150
owned_tail_sha256	dabbf3fe420fa5c2fb505c225a4641a092f66ccc9ac4ad01118557fb018e4deb
direct_bl_entry_sites	3 internal
direct_bl_entry_digest	5b36860ef501337410e05238b9ed7a2e44e32e5e6fdba44a4d17f6c400b009cf
direct_body_call_sites	82
direct_body_call_digest	f068db1641d0199c3128c4385ac39f747ec9d5bfa0295f3a481b197364cb7580
stored_exact_entry_pointers	1 at 0x006A45B4
stored_pointer_digest	0db43e16cc0240db8d9b98ede51521834fd01711dd529667337db0ca8131cd4a
real_strict_interior_ingress	0
raw_false_interior_bl	0x004DDD58->0x005CE370, second halfword of SDIV at 0x004DDD56
raw_false_interior_digest	8263c3216971e361e7a252743167c96403e2846941902ecec6f9e61a7d5d872d
direct_b_w_entry_or_interior_targets	0
retained_path	platform\protocols\pb_service_ring\pb_service_ring.c
source_inventory	unavailable; linked object complete but historical source-only count unknown
production_routed	false
ownership_bytes	0
