metric	value
linked_functions	11
body_bytes	3466
body_concat_sha256	ee22c4e8bb16352019d0cc8462f5522ee026ba29ccd334d90e366a2ce3b23d87
physical_interval	[0x0049B198,0x0049C070)
physical_bytes	3800
physical_sha256	af57ba66a30263a8e01d0975696d760f93ebe403f8988af911f811dad72f5268
owned_gap_pool_bytes	334
owned_gap_pool_sha256	a888b97fd501039b114ffe1897120215496bc9cdbd5137b4c8fc4644a513acc2
direct_bl_entry_sites	23
direct_bl_entry_digest	0fb2ba284a6cafbc32918d557e0ebdc7c747ac48cac5a5a76c1d2ffa8cbba73a
direct_body_call_sites	221
direct_body_call_digest	0e9bf0eb237eb3107b44092dbc7a2a70e68c3e91cf74b508fa7478fe6c3995e6
direct_strict_interior_targets	0
direct_b_w_entry_or_interior_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	13
raw_entry_or_interior_byte_window_digest	e1fe7a3e9b76ac6c9af4394a723262d6b3d8a609a67adfcebd0d6d5389589cbe
retained_path	platform\protocols\pb_service_setting\pb_service_setting.c
source_inventory	unavailable historically; thirteen clean-room production source functions audited
production_routed	true
ownership_bytes	3466
