metric	value
linked_functions	7
body_bytes	1854
body_concat_sha256	24f933ac204a24fdd8946526538df3b7e301314c079c8ea60a7b0c59813f8b3b
physical_interval	[0x005885B4,0x00588D74)
physical_bytes	1984
physical_sha256	06e85d974b48111ab51fbfdff1cc23c56e1274f4971f1ca5407989440b75d0cc
owned_tail_bytes	130
owned_tail_sha256	9bd568fdf74affc604e3f493fa2fa3665bc5a08a87e1b828be1a8271364ef0c8
direct_bl_entry_sites	11
direct_bl_entry_digest	5e4c0ef3ef52542ca56e9096513b22e90ccae468c7581d55ac1fcd6f4f5a6ff4
direct_body_call_sites	98
direct_body_call_digest	282e521c4d6235324b225e5c55e988324055d5074328f2303b73b5667fa58a91
direct_strict_interior_targets	0
false_halfword_bl_candidates	1
false_halfword_bl_digest	daf1c8e90e6bd4a796331e1a3db3e5cdb6bfa023aeb1368e33cb22e427eb784b
direct_b_w_entry_or_interior_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	0
retained_path	platform\protocols\pb_service_teleprompt\pb_service_teleprompt.c
source_inventory	seven linked stock entries plus two source-only bounded memory helpers
production_routed	true
ownership_bytes	1854
production_source	components/apollo_main/core_overlay/pb_service_teleprompt.c
production_source_functions	9
compiled_text_bytes	1348
generated_alignment_bytes	4
strict_relocations	39
stock_function_bytes_replaced	1854
retained_literal_pool_bytes	130
software_functional_gap	false
hardware_validation	blocked by unavailable physical evidence
hardware_evidence_required	hardware validation is blocked by unavailable physical evidence; future qualification requires an authorized G2 pair and either a component-specific service 6 teleprompt fixture or an authenticated golden BLE/UI capture
