metric	value
linked_functions	13
body_bytes	2554
body_concat_sha256	954b591a128ed3b02804f7f832bc9f59ba992c6450fa5f3badb03db4df4ae620
physical_interval	[0x005CE7C4,0x005CF2B4)
physical_bytes	2800
physical_sha256	8163d6203ef880d6eb46be6f0f9bab099b8b830cddb248c7f1bc512aa0cb1c4e
owned_tail_bytes	246
owned_tail_sha256	7d09b766d6efb89199b2c33d609f3a7a35adc963da8fd3d3914792242eb41d02
direct_bl_entry_sites	33
direct_bl_entry_digest	bf6a62b1ff5a842af15a247ef1cb3669772c6cf929b25aa271ae47bc5b444c55
direct_body_call_sites	130
direct_body_call_digest	e142154181b5431781bbf37b7ba7e65b2f5baadb54456df88dbd88cfc44381a0
direct_strict_interior_targets	0
direct_b_w_entry_or_interior_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	15
raw_entry_or_interior_byte_window_digest	407d3efbe23644a2db29198f8c29dacba8e7bb821359e2fa92357ba14440b8f3
retained_path	platform\protocols\pb_service_terminal\pb_service_terminal.c
source_inventory	unavailable; linked object complete but historical source-only count unknown
production_routed	false
ownership_bytes	0
