metric	value
retained_path	app\gui\PdtGrayScreen\pdt_gray_screen.c
linked_functions	3
body_bytes	340
body_concat_sha256	123af7b5377985763178d0cc2208acfe93e627bf24280ee59335297d0ba92fff
physical_interval	[0x005CF634,0x005CF7A8)
physical_bytes	372
physical_sha256	cc54723cf804434f6c43210a0f6cfa27ac08f770a199cd199f69d157598f6db8
literal_pool_interval	[0x005CF788,0x005CF7A8)
literal_pool_bytes	32
literal_pool_sha256	25a8a137f4c51e00f96088314261b55838eacb8dab0358afd1dadcd44ea2f1bc
descriptor_interval	[0x006A45D0,0x006A45E0)
descriptor_bytes	16
descriptor_sha256	ff87ec0080513646b1337f1821589077db72f4d8c0c8d9443983ddf50afa520e
descriptor_id	0x0000010F
descriptor_state	0x20003080
module_root	0x20074880
gray_factor_table	0102040808040201
direct_bl_entry_sites	0
direct_bl_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
exterior_bl_entry_sites	0
direct_body_call_sites	23
direct_body_call_digest	7d8d75977f908ce2407d7d6c355ffa35acc8bb13e6eea0f7584a4f40a0eb827c
stored_entry_pointers	3
stored_entry_pointer_digest	8973f2e6c2916b4ac776adc7a67381d8bd6a91dd5ad06a40abb8fdf342e43a34
direct_bl_strict_interior_targets	0
wide_branch_entry_targets	0
wide_branch_strict_interior_targets	0
authenticated_strict_interior_pointers	0
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\PdtGrayScreen\pdt_gray_screen.c
adjacent_next_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\ProductionTest\production_test.c
