metric	value
retained_path	platform\product_test\product_common.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\platform\product_test\product_common.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	4
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	1
body_bytes	686
body_concat_sha256	6f98fd337b83f2c09034d268165bd559b62b936f2400b6debef107790fe038b6
physical_interval	[0x0058F1EC,0x0058F4E4)
physical_bytes	760
physical_sha256	0050bbeef639d426ddf1f79e32dd0bc784060af1dd82a8b7a51b0f83626c88cd
outer_pool_bytes	74
outer_pool_sha256	3d33859a5893c959483daec98183cb6dbfa3d265a03b90a39b5c7b186fe2f0ca
reachable_instructions	265
reachable_instruction_digest	48505a228872d96b1efa19bec730a3c1f609d92065ff2c477a893b9ab234e882
direct_body_calls	38
direct_body_call_digest	24de9573765bb26d8c3148d57a3bdff4ca7b105af294abdf9461284c73e60ece
internal_direct_body_calls	4
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	6
direct_bl_entry_digest	f9d803a994cd59828f3b270bdfd9610670f7a76c9126c975784f002b7cb2f1fe
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	0
stored_entry_pointer_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
path_string_run_address	0x006F5360
retained_path_pointer_cells	0x0058F4A4
path_literal_references	6
path_literal_reference_digest	aba04ee525707d78c00d7bd8ef4102e539f11157eff27f7b18d58295bce90759
boundary_before_16_sha256	679fd3c7c170db2fd9bbe911804ae0ad032350a5489aa6dda4a8ecb81a34b4b3
boundary_after_16_sha256	87160f876ddef57d1abee2879fc3801b476c85739eeed0b9c0f76a084878f1c2
tag_strings	6
tag_string_digest	26a59fb9f429f57c51a8ad337e283dbda5ed2da154283b2dcab58368bccd9269
path_cell_outside_physical_interval	false
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
