metric	value
retained_path	product\s200\app\config\rtos.c
linked_functions	13
path_anchored_functions	1
additional_recovered_functions	12
recursive_decode_recoveries	0
body_bytes	512
body_concat_sha256	ce8de3e8b2dddc2c8b4d2c569faa6f376cfbe944f2ffb92769e770b45955fd33
physical_interval	[0x0046D67C,0x0046D8A0)
physical_bytes	548
physical_sha256	49cb456135815b5738f5b0a9f96aca18a7a8e30a35846df4a3cbb6e0c714aa86
literal_pool_regions	2
literal_pool_bytes	36
literal_pool_concat_sha256	30c31ea87943083be2ccacf0e5d1b6faead2e94072b58f0cc9311dd290e8ddeb
path_run_address	0x0070522C
path_pointer_cells	0x0046D884
direct_bl_entry_sites	19
external_direct_bl_entry_sites	13
direct_bl_entry_digest	ea92ee9564973b2b26ad4642c02d338da629da6e3ff6ba68e7a91cf51710cde0
direct_body_calls	24
internal_direct_body_calls	6
external_direct_body_calls	18
direct_body_call_digest	3e403b8949130590d3fa4ecbed22d33f6a733c29cc53c61172dd474e4ba886ca
stored_entry_pointers	0
stored_entry_pointer_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
strict_interior_bl_decodes	0
unrecovered_direct_object_targets	0
third_party_dependency	CMSIS-FreeRTOS v10.5.1 and AmbiqSuite Apollo510 HAL 5.1.0-lineage providers; EasyLogger and IAR DLIB are known seams; no upstream definition is embedded
historical_source_available	partial Ambiq application-hook ancestry only; G2 task-vote policy is private
production_source	components/apollo_main/core_overlay/product_rtos.c
production_source_functions	13
production_compiled_text_bytes	444
production_alignment_bytes	14
production_strict_relocations	19
production_guarded_redirects	13
production_routed_stock_bytes	512
production_retained_literal_pool_bytes	36
hardware_validation	blocked: authorized responsive Apollo510 G2 hardware is unavailable; no flash/sign/install performed
production_routed	true
