metric	value
retained_path	platform\product_test\pt_protocol_procsr.c
linked_functions	73
ghidra_discovered_functions	72
path_anchored_functions	69
restored_non_anchor_functions	4
body_bytes	32866
body_concat_sha256	c4654517691febe2e2c5c5c56b6ad719b59dc79b33148860d1aadb52d58f0b84
physical_interval	[0x0056F178,0x00577C3C)
physical_bytes	35524
physical_sha256	a543c819bc9fc21577cdc71d8cab14aeb61cce8f684509b7517e7ed853025b59
outer_pool_bytes	2662
outer_pool_sha256	d3aa33dd934b1ad64ef7b16f855bb13ad09aed41372efc5d0d5d5bd6bf5032f7
reachable_instructions	12443
reachable_instruction_digest	3eb83dc523579e3ea3d290726760fe884ed5fd58e1b616b8e554305c67bcd738
direct_body_calls	1553
internal_direct_body_calls	27
external_direct_body_calls	1526
direct_body_call_digest	5d4283b5b6024ae9c1bb9dfbd12b2a0bdf33e8b73e7599916e86c1141082a9dd
indirect_body_calls	1 bounded internal command-handler dispatch at 0x0056F838
direct_bl_entry_sites	30
direct_bl_entry_digest	adbfd99707ed39cc8b635a48e04b1dbf51025001e6a9d2cb197210176f5c721c
stored_exact_entry_pointers	66 aligned Thumb pointers in handler tables; digest 0f1ee182584cbcbcf54bef3fcb70b598181d5eedeb1162a01739bc82d3345f97
unaligned_pseudo_bl	4 second-halfword decodes inside UDIV or MUL instructions
internal_wide_branch	1 at 0x00571490 -> 0x00571CB0
raw_entry_or_interior_windows	104; 66 real table pointers and 38 instruction-window accidents
path_literal_references	256 across 14 path cells; digest 7ce238713af104f62e8669c15c336f2fc1e2cbee9dd2ebdc4fad8b9df7c2643a
embedded_third_party_definitions	0
production_routed	false
