metric	value
retained_path	app\gui\quicklist\quicklist_data_manager.c
linked_functions	3
ghidra_discovered_functions	3
additional_recovered_functions	0
path_anchored_functions	3
body_bytes	1350
body_concat_sha256	957e5df95cf845d762ec1670613ab8040dc5768b228978d5fd728ebbcb5a5992
physical_interval	[0x0058D51C,0x0058DAE4)
physical_bytes	1480
physical_sha256	af41f01594809e9b5f1dd36ede339dccdb948b000285797fe1bbe373f26d5b9a
noncode_bytes	130
noncode_concat_sha256	354b9b86779b0372779647fd047e35b31edcf279fd57d98a811999aeddd4569e
reachable_instructions	481
reachable_instruction_digest	52c088ba13953f314fd60012f54723c00a87d1f3f1d1891957def6bf86884eb2
direct_bl_entry_sites	4
direct_bl_entry_digest	26c990ef858da28681836e93e22eb3db586782af1b1417123d22ec1d505455db
stored_function_entry_pointers	0
raw_instruction_word_interior_collisions	0
direct_body_calls	69
internal_direct_body_calls	2
external_direct_body_calls	67
direct_body_call_digest	cf23522ebc56096676b18b75c684e3be40a4cf972e17bcab80f6052e9bd9eda7
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger bounded IAR and first-party leaf edges only; no embedded reusable implementation
private_producing_commit_observable	false
production_routed	false
