metric	value
retained_path	product\s200\app\config\main.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\product\s200\app\config\main.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	6
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	2
body_bytes	1504
body_concat_sha256	7a7dae604479eda83c93647ba65951d454bf01e5a406629fad2d110e2996cf4c
physical_interval	[0x005CDB46,0x005CE140)
physical_bytes	1530
physical_sha256	493925272fb28ad4faa484c52023b0b7d52deb7958941d5c4f153558206c4b81
outer_pool_bytes	26
outer_pool_sha256	d201a911b2136dece8b09709359ded0530f5dbaf6bf914a3554df5f2544027d0
reachable_instructions	582
reachable_instruction_digest	d563d2a191de7eadc803275111fa7b36d3f292849b94c56143b14108982e775a
direct_body_calls	119
direct_body_call_digest	1eaa030be09cf6234c8397f116b1eb1f8fd007ce1b3ec52f8bd49a7845b9cff9
internal_direct_body_calls	1
indirect_body_calls	1
indirect_body_call_digest	20a13194f428cbd899e2afe657c4249a327f49e3c10a5b3195af3d51a013df56
function_escapes	1
function_escape_digest	7d9e8e4fd6da498497d366dad2940917f9398ea331b38f8cb72701bb41522f83
direct_bl_entry_sites	2
direct_bl_entry_digest	aa2c8b86742dfa29423d14607ce06551722160bb3f139d3f4d393a1cd39311f8
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	3
stored_entry_pointer_digest	29e59fda4ef057b9db83cbe3ab5752c0bbcf15ff8ff1eeb89ec01fa0eddf0973
path_string_run_address	0x00703ACC
retained_path_pointer_cells	0x005CE154
path_literal_references	14
path_literal_reference_digest	4637810e6bc768a4812d6514a1a56a99f887a01dc6811c6b8c10d9defdfe2310
boundary_before_16_sha256	58fbeeafb1084214f727b5ebcbd4d3d35bb4799e54aafecbec9c63deb6be8688
boundary_after_16_sha256	e9da3171135f5c5e843e29b7426fff13d0d770b395915635e89dc45e9abc6d3c
tag_strings	14
tag_string_digest	ed9464309f4f159f07ca1491b0ae68f9d7beaf69ae12b7acf0f97872dfb9c330
path_cell_outside_physical_interval	true
excluded_boundary_fragment	[0x005CE140,0x005CE1DC) tail-merge fragment shared with pb_service_ring.c entry 0x5CE1DC
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
