metric	value
retained_path	platform\sensor_hub\sensor_hub.c
linked_functions	31
ghidra_discovered_functions	5
additional_recovered_functions	26
path_anchored_functions	5
body_bytes	4026
body_concat_sha256	f67ae887ce8c89b212e4988d5fbe82395a1499313ec1ca9d0b426e774e61ffa7
physical_interval	[0x004A6644,0x004A777C)
physical_bytes	4408
physical_sha256	5f83242db1a57ec291b26fabbb9426ab0ee9d85479c8d66cfb8b4806bdf0ea8e
noncode_bytes	382
noncode_concat_sha256	91187447eec05565cb1ee6afe6253a6c8eba6ceebf8118e876295b9956be522f
reachable_instructions	1465
reachable_instruction_digest	36cea136498d43578291a39a9c7c439def0f9db3cd9e9d3e29acad6dab2e95a4
direct_bl_entry_sites	61
direct_bl_entry_digest	4d9d233adaecbb09aa3da3dd4580b11ec3276d379235cd20949211b71a440a42
stored_aligned_function_entry_pointers	3
raw_instruction_word_interior_collisions	4
direct_body_calls	282
internal_direct_body_calls	28
external_direct_body_calls	254
direct_body_call_digest	29b3b36bd201c69fe380d94b6ff86d101d397cc99da881acc24ca9f531350a49
indirect_body_calls	1
strict_interior_ingress	0
strict_interior_ingress_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
third_party_dependency	EasyLogger, admitted LVGL, exact CMSIS-FreeRTOS v10.5.1 wrappers, nanopb seam, closed and frontier-open first-party providers only; no embedded sensor-fusion library body
private_producing_commit_observable	false
source_candidate	components/apollo_main/core_overlay/sensor_hub.c
source_functions	31
compiled_text_bytes	1602
generated_alignment_bytes	36
guarded_redirects	30
stock_replaced_bytes	4024
retained_compatibility_bytes	384
strict_relocations	106
production_routed	true
hardware_validation	blocked by unavailable physical evidence
hardware_evidence_required	closure-specific live acceptance evidence documented by the analyzer and reference audit
hardware_blocker	hardware validation is blocked by unavailable physical evidence; future qualification requires authorized G2 hardware and either a component-specific IMU/ALS fixture or an authenticated golden IMU/ALS capture
