recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	entry_evidence	qualification
1	HUB_ThreadInit	exact retained diagnostic symbol	0x004A6644	0x004A66EE	170	1282c3115885b96d63c8ddf35826c31d8bf7f1e68f7b03ff65f4af879417c22e	no	no	stored Thumb pointer at 0x00793AFC	creates the sensor-hub CMSIS thread with the hub entry and logs via sensor_hub
2	HUB_ResourceInit	exact retained diagnostic symbol	0x004A66EE	0x004A683C	334	929c27923130bf5feb6e6e627797fa303db0dfd92f1505b00e21c02adf2d4f0e	no	no	internal BL at 0x004A687A	creates the hub message queue and ALS timer with failure logging
3	hub_thread_terminate	semantic behavior label	0x004A683C	0x004A6854	24	8a4ff89344007a1b941c0e8f909b74cd42612488bf2a5c93cfcdc9a92622d554	no	no	stored Thumb pointer at 0x00793B00	terminates and clears the retained CMSIS thread handle when present
4	hub_state_enter	semantic behavior label	0x004A6854	0x004A685E	10	542bf8801bdeab42b59956ffaab23c6b3d14c6a981bcf04068dc50265a95fc76	no	no	internal BL at 0x004A6876	marks hub thread lifecycle state active through the closed thread-manager provider
5	hub_state_exit	semantic behavior label	0x004A685E	0x004A6868	10	47c0b4149facfe641925528873927e256ed6c73e1b917b3d9fd68f8d147bdffa	no	no	internal BL at 0x004A68AC	marks hub thread lifecycle state idle through the closed thread-manager provider
6	hub_thread_entry	semantic behavior label	0x004A6868	0x004A68E2	122	b2d0628507824cc3ced5c41a4b45d3859b98d6febb8e5c3766a5ce3574f110ae	no	no	PC-relative thread entry passed to osThreadNew at 0x004A6650	runs resource, calibration, role, and ALS init, then loops on the queue with critical-section dispatch
7	HUB_MessageProcesser	exact retained diagnostic symbol	0x004A68E2	0x004A696C	138	4677f736d68aafc24976e5bded4f5e9ad21735c19cee37e4f302965053ffd015	no	no	internal BL at 0x004A68B8	dispatches message IDs through the bounded eight-entry runtime handler table
8	hub_msg_send_id8	semantic behavior label	0x004A696C	0x004A6988	28	4c1d8a33a502b85954138825401c8b43fed97deda772163c95789aafc0cd0f29	no	no	authenticated source-order prologue	builds a message-ID-8 record and sends it to the hub task; no live static ingress
9	hub_timer_start	semantic behavior label	0x004A6988	0x004A6998	16	e171d909c81238a339eb7721449708d16200083744d2200326852298b3928333	no	no	five external BLs from the closed ALS driver	starts the retained ALS timer
10	hub_timer_stop	semantic behavior label	0x004A6998	0x004A69A6	14	e353d7b792a2357f6df482257dcf123e62d579f04ceff5b49d60926e800a7956	no	no	external BL at 0x004AE27A	stops the retained ALS timer
11	hub_imu_register_write	semantic behavior label	0x004A69A6	0x004A69B4	14	a03aa5f2e3ecec5fb70b424262d6b307d6b06b2dcef978c9fa64e8f6814d3387	no	no	authenticated source-order prologue	forwards a register write to the closed IMU driver; no live static ingress
12	hub_calib_init_wrapper	semantic behavior label	0x004A69B4	0x004A69BC	8	a79f3cd8deb52577f9b165d35b8bcb1e82a5334da2e2f265260d7fe08c8aa824	no	no	runtime-registered handler behind the blx table dispatch at 0x004A6916	re-enters HUB_IMUCalibParaInit through the handler table
13	HUB_IMUCollectionHandler	exact retained diagnostic symbol	0x004A69BC	0x004A6A1A	94	8055c1701abddbaff00d3d855ee02ee6160814b001159f6874bd2bebf46f62f5	no	no	runtime-registered handler behind the blx table dispatch at 0x004A6916	runs IMU sensor collection through the closed IMU driver
14	HUB_SendMessage	exact retained diagnostic symbol	0x004A6A1A	0x004A6A86	108	1d1d2062ac85165c68be21eae2a60b60455828291a422794468a5652bdce55d8	yes	yes	seven internal BLs	validates and puts a hub record on the queue with failure logging
15	hub_msg_send_id1	semantic behavior label	0x004A6A86	0x004A6AA8	34	ebc2982eb2b0e9931266f2cf7d2e081a710c088e3a22b97afa180ed31d498b07	no	no	seven internal BLs plus external BL at 0x00580B58	builds a message-ID-1 record with an argument and sends it to the hub task
16	hub_msg_send_id4	semantic behavior label	0x004A6AA8	0x004A6ACA	34	e73cfe3a29b1df5af11e357fb6ef33b015b925cdb74d475a09b158a29e43a7e2	no	no	four external BLs	builds a message-ID-4 record with an argument and sends it to the hub task
17	hub_msg_send_id3	semantic behavior label	0x004A6ACA	0x004A6AE8	30	2ae2356bb3bbb9f06f840eb70553357872f20c4c9b2b177d77d314c14ff6a8be	no	no	external BL at 0x00580B84	builds a message-ID-3 record and sends it to the hub task
