ordinal	function	stock_start	stock_end_exclusive	interval_bytes	interval_sha256	path_anchored	behavior
1	service_ancc_state_get	0x0049729C	0x004972A2	6	a1015326792c72a64aedf652cdde75bfe0ca4e3238488ac0dff8cf8918cf8d90	no	returns the service state record pointer
2	service_ancc_state_byte0_get	0x004972A2	0x004972AA	8	950c9fa92e5aebe29e00784e4899c2c55c3855ada67e2881ca6c1b9f619f09bc	no	returns state byte zero
3	service_ancc_state_byte1_get	0x004972AA	0x004972B2	8	d29aacec22d6bc0ead1349a89a6941605b5e1fceb077f4bd127ff8ba8c0a250d	no	returns state byte one
4	service_ancc_state_byte4_set	0x004972B2	0x004972BA	8	7fc7d5212a3c5f849a5fcd9396dd5e43e8f913fe7e8b8a545dca2b3c0b740144	no	sets state byte four
5	service_ancc_state_byte4_get	0x004972BA	0x004972C2	8	d56f2b1f6e5f432185c0612e63af2256feddf30296f5e6f79b82cc2cfdfe7683	no	returns state byte four
6	service_ancc_init	0x004972C2	0x0049739E	220	db372dcba9721415632142bc606d8c48b7420ffbd7b03200fd5897405788bd42	yes	creates mutex clears ten notification records and initializes message-count callbacks
7	service_ancc_message_count_get	0x004974D4	0x0049758E	186	be1b334feddcbb3fcb35b125cd56bd8ff8b2e5caf4332c5039ea60e3cbba5558	yes	returns the protected active-message count
8	service_ancc_record_find	0x0049758E	0x00497696	264	5dfa11287c5a1d7b094e19a45b193946686d3ec01f81a1fa649a7bc8b3f35efd	yes	finds an active record by notification selector under the mutex
9	service_ancc_record_allocate	0x00497696	0x00497826	400	22c0caddc16b4b12707b8a34ecddffc3a2ed38a7612cebf236ac9d0efe560009	yes	updates or allocates one of ten fixed 0x304-byte records and notifies count changes
10	service_ancc_record_remove	0x00497826	0x00497938	274	d50cc229cab64249db4be447fc6bbe097b9e586b17a0ff1e0d36fd80e6407ae2	yes	removes and compacts an active record then notifies count changes
11	service_ancc_notification_process	0x00497960	0x00497CEA	906	5667bb3c1d1325d8c24eb12641fc68dbe27b75f0179805029a07c26ba0415f5f	yes	copies notification attributes applies role and display policy and dispatches count or sync updates
12	service_ancc_state_sync	0x00497CF0	0x00497D24	52	1791224261a094e56c985557fb918fa032d9d215e24b32767764acfdf74a68ca	no	packages the service state and synchronizes message type four
