metric	value
retained_path	platform\audio\service_audio.c
linked_functions	14
ghidra_discovered_functions	14
additional_recovered_functions	0
path_anchored_functions	7
function_interval_bytes	2676
function_interval_concat_sha256	0db5547802646607e5e2bfba5dcd5527adf43fa7a5e23b3916c9d98e6db500f4
body_bytes	2676
body_concat_sha256	0db5547802646607e5e2bfba5dcd5527adf43fa7a5e23b3916c9d98e6db500f4
physical_interval	[0x0057A900,0x0057B444)
physical_bytes	2884
physical_sha256	01864fb4fc778a70c3c50b7999c8a43b86d4f8763479e8cf5e47d7a529207193
noncode_regions	2
noncode_bytes	208
noncode_concat_sha256	538de1e207f7719f8de43b064a2292e148b39292dd699a95692f06daa46de0db
reachable_instructions	1073
reachable_instruction_digest	55a017e9e0bead70f5f72cb8a8a53114c72eccb8c0ed4da23bcab5774f73eb34
direct_bl_entry_sites	33
direct_bl_entry_digest	a20e35f1f49405b911cf91a0d24d978eda2602adbf20d51bc134d0e686b6c24d
raw_overlapping_pseudo_bl_sites	1
stored_function_entry_pointers	0
registered_external_callback_entries	2
registered_external_callback_sites	3
registered_external_callback_digest	3965eca7bc3af3b2f5101760556730ea1ae080b7a5ef0fdf877da3b6d518b834
direct_body_calls	113
internal_direct_body_calls	9
external_direct_body_calls	104
direct_body_call_digest	6f5cbdba36c0f50b3aa9b90769ba668bdaca93e7b0d2b1ef09f6e5f8044d61fe
indirect_body_calls	1
resolved_indirect_body_calls	1
strict_interior_ingress	0
path_literal_references	15
path_literal_reference_digest	98d44b9058379e4c447657538d5bcba69bb2217e9e49b349096c7dd96dd9ffbb
third_party_dependency	EasyLogger IAR DLIB CMSIS-FreeRTOS Google liblc3 littlefs and source-owned file runtime; no embedded third-party definitions
new_third_party_version_discriminator	false beyond the separately admitted liblc3 boundary
private_producing_commit_observable	false
production_routed	false
