metric	value
retained_path	platform\audio\service_audio_manager.c
linked_functions	7
ghidra_discovered_functions	5
restored_functions	2
path_anchored_functions	4
raw_path_references	16
raw_path_referencing_functions	6
body_bytes	1554
body_concat_sha256	765778845b689e2b9efe344a4124ad234937dc9153fc1c42bab082fd19a84a34
physical_interval	[0x0054F364,0x0054FA24)
physical_bytes	1728
physical_sha256	c1044f123eecf9afce8e604681f57055c72ac644379d00cf0d5f239ed9ea6a8f
outer_pool_and_alignment_bytes	174
outer_pool_and_alignment_sha256	1acea8cf5453c5a5342f8d7594d1d7d031d4efdf776b732befb66c3de7cf3644
reachable_instructions	595
instruction_digest	7d834996a706d2a5363e6e84b6caba23af75be44ab7b610bcae8787576a2ef02
direct_bl_entry_sites	38
direct_bl_entry_digest	2683b5d9932445daeee8517f2117c75b6bfda17926232b081982a50e6a189d59
strict_interior_bl_entries	0
stored_exact_entry_pointers	1
direct_body_calls	112
internal_direct_body_calls	11
external_direct_body_calls	101
direct_body_call_digest	1b63b834d7f5d096ea3bc99480e000cc06fa57aedf36e59f46fb3b3724ee04af
indirect_body_calls	0
embedded_third_party_definitions	0
third_party_dependency	EasyLogger formatting and one bounded IAR memset only; role audio hardware and peer transport are first-party providers
new_version_discriminator	false
private_producing_commit_observable	false
production_routed	false
