metric	value
retained_path_anchors	9
restored_pathless_functions	7
linked_functions	16
anchored_body_bytes	8676
restored_pathless_body_bytes	376
body_bytes	9052
body_concat_sha256	e0487b9129f918d6e4a0caf95fcc1e75f8ebac23db36fce2aa3f2dfe22ded98b
physical_interval	[0x00577D7C,0x0057A46C)
physical_bytes	9968
physical_sha256	7586756c943d9c607ac92eab4e075d8d0fed0cea38fcf2bb7664122d1f216a35
owned_gap_pool_regions	9
owned_gap_pool_bytes	916
owned_gap_pool_sha256	42cffa793dfdb3987491c96e1809a1d69723d6235df129643c157fc37e4a1ffc
retained_path_pointer_cells	4
exact_retained_symbols	2
direct_bl_entry_sites	34
external_direct_bl_entry_sites	4
intra_object_direct_bl_entry_sites	30
direct_bl_entry_digest	e8afc1fbe6e1a10909f767cdb7768ccc2409d921faf1f162b1f587a315b741f3
direct_body_call_sites	584
direct_body_call_digest	e0a20198e4441f9c07837432666ca3cdb7812c8c1a151cd360d712d4ca80272d
direct_strict_interior_targets	0
external_b_w_entry_or_interior_targets	0
intra_body_b_w_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	1
raw_entry_or_interior_byte_window_digest	2d931ced3c374258744573c6f51c9ed0db227a894a8df72f62724c365f6ab7e3
retained_path	platform\audio\service_codec_dfu.c
source_inventory	historical source unavailable; 16-function clean-room source inventory complete
production_routed	true
ownership_bytes	9052
