metric	value
retained_path_anchors	13
restored_pathless_functions	13
linked_functions	26
normalized_anchored_body_bytes	4758
ghidra_anchored_body_bytes	5208
restored_pathless_body_bytes	2560
body_bytes	7318
body_concat_sha256	88264b60441f49660eba62171af67a9303c92985e90ab5539fda6b8b864a0b4f
physical_interval	[0x0057BA88,0x0057DC40)
physical_bytes	8632
physical_sha256	83a042c43132baea06c3377689d7bc90b789fabc4bea39f25a4a4fe66cac261a
owned_gap_pool_regions	17
owned_gap_pool_bytes	1314
owned_gap_pool_sha256	9ed4d2b885b71bea352cf06d2a972bb79708bbb2e3d9d48db80e7a54a618bd34
retained_path_pointer_cells	4
exact_retained_symbols	23
direct_bl_entry_sites	83
external_direct_bl_entry_sites	25
intra_object_direct_bl_entry_sites	58
direct_bl_entry_digest	f4f9f14be8990a0ed823332c2c4bdd83e0bae39e57ecf9b760558ab50bad79da
direct_body_call_sites	379
direct_body_call_digest	a688287e438040cc3e97f7a0cfece0dd532fa9d6efab5b105cb64d1033f5be78
direct_strict_interior_targets	0
external_b_w_entry_or_interior_targets	0
intra_body_b_w_targets	0
stored_exact_entry_pointers	0
raw_entry_or_interior_byte_windows	1
raw_entry_or_interior_byte_window_digest	e9e2cae8fa1676671499e3039087288c7af4938e4e805247e7cb1d0c686d9b13
retained_path	platform\audio\service_codec_host.c
source_inventory	unavailable; linked object complete but historical source-only count unknown
production_routed	false
ownership_bytes	0
