source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	_flashDBInit	exact FAL callback-table entry and trivial body	0x00540ED0	0x00540ED4	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	no	G2 FAL adapter	returns zero without additional device initialization
2	_flashDBRead	exact retained function string and path anchor	0x00540ED4	0x00540F2C	88	c28c6e9a762ec7f6d30eece41aaba076d4cd1ab4c4ed8896e2f96d61411f18ce	yes	G2 FAL adapter	reads from the NOR-flash driver and returns the requested length on success or zero on failure
3	_flashDBWrite	exact retained function string and path anchor	0x00540F2C	0x00540F84	88	99b560ec6bd2a08e55fc2aea1c175469000c34d192b27ea637b8c8c45d7dcecd	yes	G2 FAL adapter	writes through the NOR-flash driver and returns the requested length on success or zero on failure
4	_flashDBErase	exact retained function string and FAL callback-table entry	0x00540F84	0x00541088	260	40e5ef897aa952e713cd4a1e5e22770169812c154c8a7a57d668bfaa423beadc	no	G2 FAL adapter	rounds to 4 KiB sectors and returns zero on invalid input or any erase failure
5	_flashDBMutexInit	exact retained function string and path anchor	0x00541088	0x005410DA	82	8a302e6a6a4bc1a341cb2927e1c3d2016138a44024bcae425513bedf39a5cc52	yes	G2 CMSIS-FreeRTOS adapter	creates the shared FlashDB mutex
6	_flashDBMutexLock	exact retained function string and stored callback pointer	0x005410DA	0x00541126	76	937c96b8ce5aebc4ae9e32e77ecca2aa1888810249198a9fd84a4c119f22d844	no	G2 CMSIS-FreeRTOS adapter	acquires the shared mutex forever and logs failures
7	_flashDBMutexUnlock	exact retained function string, path anchor, and stored callback pointer	0x00541126	0x0054116E	72	866a665a4e069f7d88714cd00664a5dcb1102c1bd25f6489b34519a0554e5dd4	yes	G2 CMSIS-FreeRTOS adapter	releases the shared mutex and logs failures
8	SVC_FlashDBBlobRead	exact retained function string and recovered FlashDB signature	0x0054116E	0x005411F2	132	9e7d9b4f3af470e7f70cf9b1fe8cb304b940af29f6c636f0eea19e38f4a493e1	yes	G2 FlashDB service adapter	constructs an fdb_blob and calls fdb_kv_get_blob for the selected database and key
9	SVC_FlashDBBlobWrite	recovered sibling signature and adjacency	0x005411F2	0x00541232	64	061c258af748dc9274be4ae37eaf413d99b795fff4cab2f1e44c33afc8e1f938	no	G2 FlashDB service adapter	constructs an fdb_blob and calls fdb_kv_set_blob for the selected database and key
10	SVC_FlashDBGetObject	recovered database-array accessor semantics	0x00541232	0x00541240	14	a6ce82abb413ebb05e36f957ec398e3503a2d9fa7eea371b40fe09e2d052d40d	no	G2 FlashDB service adapter	returns database base plus index times the recovered 0x8AC object stride
11	SVC_FlashDBInit	recovered initialization call topology and adjacency	0x00541240	0x0054125C	28	2dc2cc1c58e453b806371d67abdcbdedfd42fbe31193fc3d7133e89bd2bdd209	no	G2 FlashDB service adapter	initializes the mutex and then the sysenv and factory databases
