metric	value
retained_path	platform\service\evenAI\service_even_ai.c
linked_functions	9
ghidra_discovered_functions	6
additional_recovered_functions	3
path_anchored_functions	3
body_bytes	1984
body_concat_sha256	05a5b9ac7b913d5fbe4a6e004bca7891d685b1b4075fb3bab3b63421244b34c9
physical_interval	[0x00497DE6,0x00498634)
physical_bytes	2126
physical_sha256	6f45dddbc038fa5b95231512bc35ead4871d5e38b789cfff259cf40ba9083897
noncode_bytes	142
noncode_concat_sha256	dc4f4e9180146f232baae967e4a4272bbe5b5f31458c3f244cc89067cc8be033
reachable_instructions	753
reachable_instruction_digest	b419c6eadfe775bbacf7486d749782ef66483a2872618c143a6c2d6856ce384f
direct_bl_entry_sites	30
direct_bl_entry_digest	92d6fa169508ee71602fdb2b9d2ac9f9ed07bf0c002f175de557658203483699
stored_aligned_function_entry_pointers	1
raw_instruction_word_interior_collisions	3
direct_body_calls	127
internal_direct_body_calls	3
external_direct_body_calls	124
direct_body_call_digest	f681722a81afbdced9cc562b1d94a90417740cc6d09a912282e4f7d55107cfb1
indirect_body_calls	0
strict_interior_ingress	0
strict_interior_ingress_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
third_party_dependency	EasyLogger, one exact CMSIS-FreeRTOS tick wrapper, and bounded IAR DLIB edges only; no embedded AI or NN library body
private_producing_commit_observable	false
production_routed	false
