metric	value
retained_path	platform\service\flashDB\kv\service_kvdb.c
linked_functions	7
ghidra_discovered_functions	7
restored_functions	5
path_anchored_functions	2
raw_path_references	13
raw_path_referencing_functions	2
body_bytes	1384
body_concat_sha256	2c07e82aa841a5f3a6cd0cdefc14f91a357fd9f8f6fa2e341cbd9a3ca0ea1665
physical_interval	[0x004D9530,0x004D9B34)
physical_bytes	1540
physical_sha256	373fb5e4f07d20e74c238fe6fe5922064d28e398b19696459167432fdbbc83c0
outer_pool_and_alignment_bytes	156
outer_pool_and_alignment_sha256	1e9d634f8dec4d914a0173ab2ed5732b1ff6d928a43292fa72fc3cc6f331864a
reachable_instructions	550
instruction_digest	921ef30a8be2b109603d722ccfccc84a2956e6b5bd53c356dc07c1156a20e348
direct_bl_entry_sites	32
direct_bl_entry_digest	16f2c10309cf150e770bbc4add0c95e7c79c1ce45139e9694ca9c0ca43c27c09
strict_interior_bl_entries	0
stored_exact_entry_pointers	0
direct_body_calls	88
internal_direct_body_calls	4
external_direct_body_calls	84
direct_body_call_digest	a556efd6d2a9a46c504f06860fc378f21588c759e4504fd69b8221f391702a2c
indirect_body_call_sites	1
bounded_indirect_target_entries	11
embedded_third_party_definitions	0
third_party_dependency	exact FlashDB 2.1.1 core plus EasyLogger and one bounded IAR memcpy; all migration callbacks and adapters are first-party closed providers
new_version_discriminator	false
private_producing_commit_observable	false
kvbooCount_startup_default	zero via authenticated IAR startup clear [0x20004558,0x20075048)
production_routed	true
production_source	components/apollo_main/core_overlay/service_kvdb.c
production_source_bytes	6878
production_source_sha256	d2e017f9d97427fa46f2c93d45718ec21f9c24186490c36e3d19b5a363e73340
production_compiled_text_bytes	342
production_alignment_bytes	8
production_strict_relocations	23
production_replaced_stock_body_bytes	1384
production_retained_official_pool_bytes	156
production_magic_mismatch_policy	fail closed without reset
production_invalidate_magic_writes_zero	false
production_destructive_default_reset_enabled	false
hardware_validation	blocked by unavailable physical evidence
hardware_evidence_required	authorized responsive G2 pair and known-good removable sysenv media evidence
