metric	value
retained_path	platform\service\ring_battery\service_ring_battery.c
linked_functions	5
path_anchored_functions	2
body_bytes	352
body_concat_sha256	77f223b6c8cf312ccbbccb79e41c1b54fedc36cb3c2204902ba346d646485377
physical_interval	[0x004FF8E4,0x004FFA70)
physical_bytes	396
physical_sha256	671ac6562c8d006acb17e39d816e19a2cd6c00887edac1cbeebb0364a36c459e
outer_pool_regions	1
outer_pool_bytes	44
outer_pool_concat_sha256	5b6f8497a0d814000f0d5eaea1d73ffb2ebb5244884a04b357514cbec88b30cd
direct_bl_entry_sites	9
direct_bl_entry_digest	e9d3a2205c922d079f8480f12d9fcfe482ea37b4eb69ed02e580a1ecbb94bab9
stored_entry_pointers	0
direct_body_calls	19
internal_direct_body_calls	0
external_direct_body_calls	19
direct_body_call_digest	ab0009c7054662dc96cfe2e1966057a9e7e1dccf1bca45a9706544adc63f176f
indirect_body_calls	0
unrecovered_direct_object_targets	0
third_party_dependency	EasyLogger and bounded/source-owned IAR DLIB memset only
historical_source_available	false
public_source_fingerprint_match	false
private_producing_commit_observable	false
production_routed	true
production_source	components/apollo_main/core_overlay/service_ring_battery.c
production_source_functions	5
compiled_text_bytes	134
generated_alignment_bytes	4
strict_relocations	2
stock_function_bytes_replaced	352
retained_literal_pool_bytes	44
diagnostic_policy	Stock EasyLogger observability omitted; cached-state and service-record transport behavior preserved
software_functional_gap	false
hardware_validation	deferred by project direction
hardware_evidence_required	authorized physical paired-G2 service-record transport or ring battery-state evidence must be collected during future qualification
