recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	SVC_Settings_InputEventCheck	exact retained function string	0x0046B0EC	0x0046B238	332	c1ff3f6505eb17edc734e267bc0ea988ec30606480c27749abaf50486bb51db2	yes	7 external direct BL sites	gates input during OTA wear-disabled case and silent-mode states
2	SVC_Settings_UledCtrlCheck	exact retained function string	0x0046B238	0x0046B334	252	8025b7f2a3a46a34d66fedf0b6351ccf6abd6e7e8a8f23b86703ab91f4656ee5	yes	1 external direct BL site	gates display-controller access during OTA wear-disabled and in-case states
3	SVC_Settings_AppLaunchCheck	exact retained function string	0x0046B334	0x0046B3E4	176	52e5bd090a253d18b014b9566fca68689cff96d276d48b1ae07b039b6b376c1b	yes	2 external direct BL sites	gates app launch during OTA and silent mode
4	SVC_Settings_BatteryCallback	exact retained function string and stored callback	0x0046B3E4	0x0046B44C	104	128e11026a62fea265afd2dedfb3a44139a057e408d9cdd17bfc12cbd0138d3b	no	stored Thumb pointer at 0x0046C698	updates SOC and charging state for callback contexts zero and one then emits device status
5	settings_get_config	semantic getter label	0x0046B44C	0x0046B452	6	17bfba08af391040dd02663b9807a0f6e9a50ddf1f2f873ed444bcac9766145c	no	35 direct BL sites	returns the live settings-record pointer
6	settings_get_runtime	semantic getter label	0x0046B452	0x0046B458	6	effec09d91b992221e0b541e24cdc45a1f0d68345bdea817831f36c629b94e95	no	1 external direct BL site	returns the settings runtime-state pointer
7	SVC_Settings_DumpSettingConfig	exact retained function string	0x0046B458	0x0046B912	1210	3b3766b3182e58f45b2086c677700697910f177520483d8358e34f20c4fe10ba	yes	4 direct BL sites	dumps version brightness auto-brightness coordinates head-up wear silent calibration checksum terminal and ALS fields
8	settings_apply_display_levels	semantic behavior label	0x0046B912	0x0046B930	30	0e89c18d32375e1e662783386945127e5474bd591f19689621f3ca2fc69660cc	no	2 internal direct BL sites	maps stored brightness and role profile through two table helpers and applies them to the display
9	settings_send_config_to_peer	semantic behavior label	0x0046B930	0x0046B988	88	af798e84327e7908e36e4a67cfe8e7236f39f64f9da42ddf151cc0206b470aa8	no	2 internal direct BL sites	packages the 28-byte settings record plus role/version framing into a 48-byte peer message
10	SVC_Settings_SyncVersionOnlySend	exact retained function string	0x0046B988	0x0046BA02	122	7c5022f976feaec5cdb8e6e5538794eb4d18139fa0b44439eb1f10a5aba46abc	yes	2 internal direct BL sites	sends command two with local version 2.2.6.10
11	SVC_Settings_RequestLeftVersion	exact retained function string	0x0046BA02	0x0046BAE4	226	9c9e95abaf796cea89e6239912371b320681effdf7f139a02cc641d0d5e42129	yes	1 external direct BL site	rate-limits command-three left-version requests to one per 500 ticks
12	SVC_Settings_UpdateLeftVersion	exact retained function string	0x0046BAEC	0x0046BB70	132	f0ccdc17891ae78d87bfe979c4d5410e62c44bedbf8793fcc92e4f65307033e7	no	2 internal direct BL sites	copies a received peer version and emits device status when it first becomes valid
