index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers
1	semantic_TouchFrameReadU16	semantic	0x0055FCB4	0x0055FCC8	20	16ed97b326b77bfada30cf481635f6b405588b2a6112496d53067671a13d4224	false	2
2	semantic_TouchFrameWriteU16	semantic	0x0055FCC8	0x0055FCDC	20	fe486bfda54096f948558356135dec8354ad0d8e42e506a64ab7c98d08bcff57	false	2
3	semantic_TouchFramePayload	semantic	0x0055FCDC	0x0055FCE0	4	96f54a0ecf9c509953df080c51164bdf4bada134a953fad8b38a6fd3e8863672	false	2
4	semantic_TouchFrameTerminator	semantic	0x0055FCE0	0x0055FCE4	4	83ccc135b7d5d67959ec6503b71a1015ffb9675959fca3e0be0d35b629f3a1ec	false	2
5	semantic_TouchFrameCommand	semantic	0x0055FCE4	0x0055FCE8	4	1553f81e87c4b8d5bd081297d34b7b90f8352109f7fd335ef99ca30e51dbacff	false	1
6	semantic_TouchFramePayloadLength	semantic	0x0055FCE8	0x0055FCF2	10	031cdb90b5f8b4d3b694bd67af11b0b5878da208d03f48bcd48d9645cc6f704c	false	1
7	semantic_TouchFrameChecksum	semantic	0x0055FCF2	0x0055FD04	18	8c00b3a77ce5c8617aab0e5a4be9164d6bdc6d770bc869847f08afffc2b0d7df	false	1
8	semantic_TouchFrameHasTerminator	semantic	0x0055FD04	0x0055FD1C	24	7463609b3f07102c854649800651e8dcc7dc02d22e0b24a917ca3047c59e2d6b	false	1
9	semantic_TouchFrameInit	semantic	0x0055FD1C	0x0055FD22	6	85a5a103b1f2948e3a3fd16df4eb8414c165673fcda38bd7177d5027a57e3e1c	false	1
10	semantic_TouchFrameSetCommand	semantic	0x0055FD22	0x0055FD26	4	80ca354ef7deaa612a44e74bba7c6cc9fe0716866d113694c89b17eaa0d845b1	false	1
11	semantic_TouchFrameSetPayloadLength	semantic	0x0055FD26	0x0055FD32	12	50566ff7ea7179e282577407a447086982288d5835fea3787f5f4a58e98f39d6	false	1
12	semantic_TouchFrameSetChecksum	semantic	0x0055FD32	0x0055FD4A	24	ce5034e9ef805ec953af4d3c4344c411420bf7270d2a988eb034965030b3dac0	false	1
13	semantic_TouchFrameSetTerminator	semantic	0x0055FD4A	0x0055FD5A	16	b88ad6cf888ae4f208738c40760e5715abff1179b28f0089734146a0ff20dab6	false	1
14	semantic_TouchFrameChecksum16	semantic	0x0055FD5A	0x0055FD76	28	957170d191e8048131def9f82d42d6d6f4138ee916213e95ae4b5b3529b18084	false	2
15	semantic_TouchValidateReply	semantic	0x0055FD76	0x0055FDF2	124	4d30c0fa6b519f6c8429def02c71138383240ab6fe9ddd6066f1d6ee51a9b998	false	1
16	semantic_TouchSendCommandRetry	semantic	0x0055FDF2	0x0055FE3A	72	f36d12cc4326df7d63d72ffed39f4cd9d55405e0270203c6d0a61a44a3116188	false	5
17	semantic_TouchCrc32	semantic	0x0055FE3A	0x0055FE74	58	8fc38b014fe98b195c2791dc1a660d0b308df9d8c594f0a1d1cfd8003d4cc573	false	2
18	semantic_TouchBuildAndSendFrame	semantic	0x0055FE74	0x0055FED6	98	4fb49de7c074929b7d75d44d1bc5c12d106fc8d166413e1d24eae580b0687317	false	6
19	TouchEnterDFU	exact	0x0055FED6	0x0055FFF0	282	eb9266e907c25419dbc9e52680bad0c31687d7d58ef58f2a58428d7de49136e5	true	1
20	TouchSetAppMeta	exact	0x0055FFF0	0x00560110	288	45fe636c66171bfe7b6706c33b2e770746ece9e6ed14e3570aa58a28f6664f82	true	1
21	TouchSendOnePacket	exact	0x00560110	0x0056023C	300	dc380a4efdaa109cb816a7f2ed07f4171ba941507c44248891f555a550f36ce4	true	1
22	TouchProgramData	exact	0x0056023C	0x0056030A	206	246705f1a5e0a98252618996b59c8cf619256d243540072428672e176e7bd4dd	true	1
23	TouchVerifyApp	exact	0x0056030A	0x0056041C	274	73f389665948e673d95b469764658f14f7303adab2cd696443111ee9b267218a	true	1
24	TouchExitDFU	exact	0x0056041C	0x005604C8	172	1af12bd5f810cf2550dc012ddf2d7fe5ea845cf7e5dfb834239f1bd70bbad2e5	true	1
25	TouchSendAppFile	exact	0x005604C8	0x0056063A	370	913c0a55a1f21764927a78d3b8eb1d7ffee3dabdeda6a57c74ec3198c602d600	true	1
26	free_touch_firmware_memory	exact	0x0056063A	0x0056069A	96	0bc6a6a97cc6d4b2cd72967d818d54e3529668aa72201d6012c97be42c686b18	true	10
27	get_touch_firmware_package_version	exact	0x0056069A	0x005608B0	534	b33452770cffb65375bb28406fc672957ddc6b0709f61fef7c7a15f445752720	true	1
28	load_touch_firmware_from_package	exact	0x0056092C	0x00560EA2	1398	0a2c93e1fc7cde25d65cf33be8ac0303a687d03cbc23e77b1a2284508cc4f76f	true	1
29	semantic_TouchFormatVersion	semantic	0x00560EA8	0x00560ED4	44	5ce2e9a08d03dd1841201d140820c68eccb715d0f76173856424878ebbf3e050	false	2
30	isTouchNeedUpgrade	exact	0x00560EFC	0x00561036	314	8170469af0353dd76664054bcbbe2d59fd829312d2ead5dfeea6775bb7e9a2e7	true	1
31	semantic_TouchLogCurrentVersion	semantic	0x00561036	0x00561078	66	898eefe92ff7bba1792596d5521895fb427f07a1cba8b5e0f685ed781b7f7f39	false	2
32	TouchUpdateFirmwareCheck	exact	0x0056110C	0x00561710	1540	21c8e6e09649e6ccd9b1a0d34c4046684241544a3bf7a3df2c7dd7d5aa6b2f5a	true	3
