metric	value
retained_path	platform\service\service_universal_setting\service_universal_setting.c
linked_functions	15
ghidra_discovered_functions	5
additional_recovered_functions	10
path_anchored_functions	5
body_bytes	2010
body_concat_sha256	2d58b57cd110c3a85179dce649f016e400602e9b3983902627d361229288a22c
physical_interval	[0x00466010,0x0046687C)
physical_bytes	2156
physical_sha256	a87c440e6017d5215d9f2f7d7579e0271cf7f7fb94f62847b09a2792e6ae8534
noncode_bytes	146
noncode_concat_sha256	c497a695fe46764713a9ba63860c76364ef8092f5665c6b2c2d83c2c47cb38d0
reachable_instructions	808
reachable_instruction_digest	d267759976b479ca6368cf586b0f45536189f2d61197d9bc444b80e78e352463
direct_bl_entry_sites	81
direct_bl_entry_digest	44eabfc8ac0a80d885b8a59f0fd49c3483cdaf214119e51531d5c4719c64a6e4
stored_aligned_function_entry_pointers	0
raw_instruction_word_interior_collisions	2
direct_body_calls	106
internal_direct_body_calls	3
external_direct_body_calls	103
direct_body_call_digest	b5ac88e09d65bc8bfbef5a7e6384749a91ce6c6d65c05d8b28076ee84de28692
indirect_body_calls	0
strict_interior_ingress	1
strict_interior_ingress_digest	d12fd22b391d8ec65731d6aaec7a23cd909b328b35eb679455a5eab690caf2af
third_party_dependency	EasyLogger and IAR DLIB edges only; CRC provider source-owned
private_producing_commit_observable	false
production_routed	false
