metric	value
retained_path	app\gui\setting\setting.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\setting\setting.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	18
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	15
body_bytes	5486
body_concat_sha256	13b18191451e5d05f95435e26e969951641995a98370749e32c36f4ce9829d7f
physical_interval	[0x0046687C,0x00467F08)
physical_bytes	5772
physical_sha256	97d60497ba2d7cf29f78db2474bf7f7342167ee97aaf636399981760add024d4
outer_pool_bytes	286
outer_pool_sha256	662eaae7c643e70c8677f56703841a659919fdf881722a8a40d17278d682601d
reachable_instructions	2024
reachable_instruction_digest	2dfcec6fcf9a65f0d6b70b5a53c6330d15b7eac34324237c92433e0c32f4757e
direct_body_calls	361
direct_body_call_digest	f118d13b2bb6a37a3a1eedd7eb081696b3459be2c9ac7591b0658c0df42e3b6e
internal_direct_body_calls	16
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	17
direct_bl_entry_digest	9c241eb366250b0d3294218ffd4ddbb6de503c1ac327d854e5e65e61b070bcbf
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	4
stored_entry_pointer_digest	fa2528a1583aee3597b88a82d857d036256dc3a9c0696b731c436d80443fb343
path_string_run_address	0x0070F3A4
retained_path_pointer_cells	0x004672EC 0x00467F10
path_literal_references	51
path_literal_reference_digest	c2069d8fbe44dcca8096fe53ee1f2c982dffe6fba010d37c8d822c9b633d4690
boundary_before_16_sha256	79cb6158aae0d7310ad8e23ad9b87d4f4811e26a536357cb6933bf6afcf56e11
boundary_after_16_sha256	0695a8680dc82087aab34725101e3b6bdc60283010bbeb8328f1125e9e03b848
tag_strings	51
tag_string_digest	ee17983be624cc2fee207f76e2d619aac94881958d448339eb9a12d16028ac3f
path_cell_outside_physical_interval	true
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
