metric	value
retained_path	app\gui\Silent_Mode\silent_mode.c
linked_functions	10
ghidra_discovered_functions	7
additional_recovered_functions	3
path_anchored_functions	6
body_bytes	2488
body_concat_sha256	686a948586452d3559a9346ebd25e87c47302bb1f7301c8fe9b784d5659d9d29
physical_interval	[0x0046916C,0x00469BF4)
physical_bytes	2696
physical_sha256	e0cb804bfbeb52a212b4821d9f9cb3246603cd6a7d87e5026d90ab070dfc0afe
noncode_regions	2
noncode_bytes	208
noncode_concat_sha256	f44040e26ad6b383aaf89e282a51d752a8115e1d7953bd6b6689b6c1fe88318e
direct_bl_entry_sites	19
direct_bl_entry_digest	ccfd0f25a869438dec1176d8a2bcd64808e12013c4cb23727c117e17e197b112
stored_entry_pointers	3
direct_body_calls	178
internal_direct_body_calls	10
external_direct_body_calls	168
direct_body_call_digest	c9919864a3a0677aeec0ef0444eced5df7d8a4c93cb5e7ae60fdaee74508eb12
indirect_body_calls	0
third_party_dependency	LVGL, EasyLogger, exact FreeRTOS vTaskDelay, and bounded IAR memset only
private_producing_commit_observable	false
production_routed	false
