stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x0045A578	0x0045A6D0	6ef351f5dba0914f7c997b6909d2ce7e3d1c32bafe92c01954011d86de0c8a92	yes
0x0045A6D0	0x0045A72C	76b33b4ce8e2ba9a1a8d296abb0fdb070c34355091514a2b4e096d96f55cc05b	yes
0x0045A72C	0x0045A80A	48b49fc7c91f2d53bd20ee2773d3e8adaaa816aa5d56f30bd29792d767561dc5	yes
0x0045A80A	0x0045A8EE	38004837ceadb5a37143728dc97cc12ca729a9217cffec543b27724efb50542b	yes
0x0045A8EE	0x0045A9E6	a54f061e03f4274254e2eb39ab777c1544220a799a02737c2c2ee199252c5309	yes
0x0045A9E6	0x0045AACA	64c92527bc201be8711340b7fc66f72f302d08e79890cee2558ca1a7ba821d70	yes
0x0045AACA	0x0045ABC4	7bb409fe9154d752ff62cda6686036482c37c3221488142488074e857d70d92a	yes
0x0045ABC4	0x0045ACCC	ead8d4b478a02be1f4311c95993819455a4718670117c7a170bec4541b1eed03	yes
0x0045ACCC	0x0045ADDE	8fa628198d40e0f7be52e4c2831f4ab8c13d00b8c60bbbeca59868cd06f5965b	yes
0x0045ADE8	0x0045ADF4	ea31650e85d4a18cbd814ce3a5fd06010c806957d790cc88f6bb2e808693ef79	no
0x0045ADF4	0x0045B0F2	ab90d9d2dba59db804db0d4004e06305c5fe2c73ad226a3cbb97a7e8a76a7568	yes
0x0045B14C	0x0045B57E	63a8d6858b41b40bd1531486ebf9fc55dbfb42b19c65e82f317ed6a8623c1ec7	no
0x0045B588	0x0045B6D6	2af6d7a0bb0ba72bfa2940d9ac21df14b66a08649cda97b4ab5b41c8e3deb67d	yes
0x0045B6E4	0x0045B83A	250c2459057adc7b15ab0544a43063efa81e62fda8642ea17ce21df6d8cf6185	yes
0x0045B850	0x0045BA26	6a7da18e5ff7ba9b1d305963e672e1d7bb4d9be14dac0ce412356cec3496bc62	yes
0x0045BA3C	0x0045BA46	7bccf73faa0a7828b4de9a7c07ab58d9ac3b3c204706b0b0aed257e7df4ae18b	no
0x0045BA46	0x0045BAE6	e709b99772eb2629f9c1355c9a973c7fc5eb22939bbe6397ebb74f415c2677f4	yes
0x0045BAF0	0x0045BB52	534ce625956c0e83cfd91c0aee23aee73654f788ccc4359810e3320447a5cedb	yes
0x0045BB58	0x0045BBB6	adcefb64bbea665dcc80720ca62bf4615ddf00a69d1bd87df777ae931b807aa3	yes
0x0045BBB6	0x0045BBD2	94b826ed0cab0b59bc817e51fcd4014c2d2b064b015fe1c1967ee8fcb4a0fce1	no
0x0045BBD2	0x0045BBEE	2de69f433a1ba1a4052a1c390e86cda66f8ad13ae1dcc3b4eae3bc14824f58dc	no
0x0045BBF4	0x0045BC06	7d20e4c90ed9b4a2b23766a8843e981bfb651b583ad1fc4947a65fd4c6e339e4	no
0x0045BC06	0x0045BC78	d7315d14e1c4b63edc690a189325e9d58e41c183ea77f21674d91fa6b5b5b38d	yes
0x0045BCA0	0x0045BE62	a23743d31cda01a030ce75e3c044229e99f3cd5a17615a8ed0764819a5470177	no
0x0045BE6C	0x0045BF72	0eb189d305a660fa1b111a36189fff275f3186356dfce4d9bdb78dba00eeccef	no
0x0045C058	0x0045D1B8	b109eb5f9f7ea42ae51fc337fb7114c5f68f46722ccee0d4ae1277c6fac1a0d9	yes
0x0045D1EC	0x0045D302	ad881005a071b7742baa067405d6f988f7aef82da6ded1a2a0e167dab196bf5b	yes
0x0045D302	0x0045D322	b68661691ce357b19e56c93856bfd6a66efc573a1e16100f3da807741be838d1	no
0x0045D34C	0x0045D4B2	3533c2c06b6421a27aad890ed995e2d8ec9ca03697fcb81c2ce871bbc000de6e	yes
0x0045D4B8	0x0045D4D8	9c676f32678132146ba5d7a6dfd8191ac94b23b86acf782e7cf5c939166eed3e	no
0x0045D4DC	0x0045D536	669a484b5cf30ab962a12255f85b4082b9a792f2b83096473a3caac998ff520b	yes
0x0045D554	0x0045D708	ec5380e1c02b9df3a4df6631d81d6b0dd822a20278e3662287be915078a61a56	no
0x0045D710	0x0045D7C0	efd94e61056fafb8cd366b5312441fd98cf2904863827be6fcc19f6e18ab5e32	no
0x0045D7E4	0x0045D9B8	907742dbaa223f2ccc424dd71e3b60b5defd44927ba80138a54153c25232172f	no
0x0045D9CC	0x0045DA84	fd095c45eabbc890a5f4a2cafd212ecb960b56463e1bb7cd0200a381b9114a03	no
0x0045DAA0	0x0045DC64	cd5ffd83d371b0a9fd877fffb3e9d48abbc70a29f12e0b92a571cafccf97e4e0	no
0x0045DC84	0x0045DD34	f0ab0a6e6cc0c0b8b1999877c0d91bb4eb8bb19b222cd3cbd59b459378d46c4e	no
0x0045DD68	0x0045DF10	a3da02e20bc35dae5cc9575353eaec2776256da7149d3420c94856fe421f1905	no
0x0045DF24	0x0045DFCC	3399516e0f812e74199ab26220960d5af03961533cde1f7a4eebd59f726a845d	no
0x0045E024	0x0045E59E	e15afe62c989a12b1af671197dc4a5e4b6ee882408dd78a84e71e24938f7bb8c	no
0x0045E5A4	0x0045E652	0606860b54b816169151040a73f20d2bacf0cd8a561b59b37dbf63db80196033	no
0x0045E664	0x0045E8A2	71edbe10a47403e1880dfa1f848446eb8976e445e06b75db36b84dfaf7ee109a	yes
0x0045E8D0	0x0045EB76	62326c6a631f068f05f8141a8960aeab9a11242ab9f559507e9adf1b21e72360	yes
