metric	value
retained_path	app\gui\sync_info\sync_info.c
linked_functions	3
ghidra_discovered_functions	3
additional_recovered_functions	0
path_anchored_functions	3
body_bytes	780
body_concat_sha256	1cd19bf8937780bc39edb9364f9f1ee465589c0761a1dc4dcd85e894076ca569
physical_interval	[0x00471EE8,0x00472244)
physical_bytes	860
physical_sha256	cb871397e3ad9999c1379199c78e231b160aa859c51497b94a832a38c1939bf5
noncode_bytes	80
noncode_concat_sha256	cdadc69245fb572ca75208d8945fcf441559eb7d7aac9d254181286b8478b5ec
reachable_instructions	326
reachable_instruction_digest	5e559dfa7d5cfeb1c0c3f826cf64daab6ffc2433ce330690f6fb2d2c6f2c25ab
direct_bl_entry_sites	8
direct_bl_entry_digest	4bc8cb9e0f680875088d28870cf53c9bd0c446bee70b3dc9eaef9005e9ac9f8e
stored_aligned_function_entry_pointers	1
raw_instruction_word_interior_collisions	0
direct_body_calls	56
internal_direct_body_calls	1
external_direct_body_calls	55
direct_body_call_digest	4212dd8409bee70120a0db15e5686870dded9c8c85057fb536bcfbf65082dc66
indirect_body_calls	0
strict_interior_ingress	0
strict_interior_ingress_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
third_party_dependency	EasyLogger, admitted nanopb runtime, and bounded IAR DLIB edges only
private_producing_commit_observable	false
production_routed	false
