recovery_order	function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	qualification
1	system_close_fifo_reset_00469bf4	0x00469BF4	0x00469C26	50	74666f674eeb29a1e23aa4ecce4664058cc1d1ec9a75176cbbff48df95407bee	no	no	resets the bounded pending-event FIFO state
2	system_close_fifo_push_00469c26	0x00469C26	0x00469C98	114	d90fad3a5f4c6df4bd372f0f28f128ea074d906d1e0bdecbe601f784118a6116	no	no	adds an event to the bounded UI FIFO with duplicate and capacity handling
3	system_close_fifo_empty_00469c98	0x00469C98	0x00469CAC	20	99880468709a8434712b32a1c0a366da95bb6d054c419d8695536643daafd271	no	no	returns whether the pending-event FIFO is empty
4	system_close_fifo_pop_00469cac	0x00469CAC	0x00469D24	120	daf27473755c40c2ce2a9ed8aabeea1b798a905ab317c1735e6e2edb08d49e9c	no	no	removes the next pending event while maintaining FIFO indices
5	system_close_set_style_00469d24	0x00469D24	0x00469D48	36	96382098cfb6e47a2e7c156f2ab883ea14ffc65fb6c121e500cc19b47256eeed	no	no	stores the current close-page style
6	system_close_common_data_handler	0x00469D48	0x00469E66	286	ac767be6754909345d91b722d327697338d69c09dc260ed819932c8692ebcd8c	yes	no	validates common-data records updates style and posts an allowed system-close event
7	system_close_dispatch_page_action_00469e66	0x00469E66	0x00469FA2	316	d7b2cf27ae59ba2236d8f9f06d0dc8acb95a8ba9351b3394b9873962e54ee492	no	no	dispatches close-page actions and transitions through the display framework
8	system_close_page_event_handler	0x00469FA2	0x0046A18C	490	ffbd719ff9cbd17003338913a7155b4edc8f132251b165c01d7b2a44e4d6fdb9	yes	no	dispatches click scroll and IMU-reflash page events
9	system_close_selection_animation_0046a18c	0x0046A18C	0x0046A2CA	318	2a922e4a696ee49a07220ac8c353f8fffe8d1d4f3613df8fc34d1bb41be9f2fc	no	no	builds and starts the selection-change animation sequence
10	system_close_option_position_0046a2ca	0x0046A2CA	0x0046A3D6	268	4ac7582fd0bd9de4cf660f971e72c62c4f556b17edda51578d6ef7980bc3bbbc	no	no	updates option geometry and label emphasis for the selected item
11	sc_selection_change_anim_ready_cb	0x0046A3D8	0x0046A4E2	266	ff1e4a88de5bbdddb18f6373edc94d72f9d7702ec6a785ef2e66e34ee9de3d03	yes	yes	marks animation completion and drains one queued UI event
12	system_close_process_next_event_0046a4e2	0x0046A4E2	0x0046A53A	88	3c3e2a83ce25c25fb6464d8b70dfcf3f33cb7571da49f0c6828b007497cc0690	no	no	reads and dispatches the next FIFO event
13	system_close_update_selection	0x0046A53A	0x0046A6D2	408	3340fba1536209037c76c0396e7ceb40beebc4ee102d7a348e38d65118260eab	yes	yes	updates selected index arrow position and animation state
14	system_close_handle_scroll_up	0x0046A6D2	0x0046A77E	172	ded18f196577675942d2ef4a39955892c126e96d2b0a835a35489f9b0fe23460	yes	yes	advances selection unless already at the last option
15	system_close_handle_scroll_down	0x0046A77E	0x0046A822	164	6b2e5df406d84415005d0e37a7221f8c7be428d489b3753440b4aeb0998e8cc6	yes	yes	decrements selection unless already at the first option
16	system_close_handle_click	0x0046A848	0x0046AAB6	622	bccf213d4ec87ed7d557e097e08a0cc16e6d864804e8955e61e3323c54a00946	yes	yes	dispatches confirm cancel and minimize selections
17	system_close_create_options	0x0046AAE8	0x0046ACC4	476	706fdab074d38d42024d6aff604ed732efee4355e3125d38c0966bc6ff8581d1	yes	no	creates style-specific LVGL option objects and records item count
18	system_close_ReflashEventHandler	0x0046ACE8	0x0046AE6A	386	7b328985e2e9c10cd0bf5265c5b166159b0e98ab9d5536dde300f990b487fbdb	yes	no	rebuilds or dispatches the close page according to current style
19	system_close_page_factory_0046ae9c	0x0046AE9C	0x0046AEEA	78	300902d5d3753a5daedf5d4fb0885239909f9e0d935bb83a8268548e5710ae6a	no	no	allocates and initializes the registered close-page descriptor
20	system_close_ui_event_handler	0x0046AEEA	0x0046B004	282	5ff425ada382100b5faf23a2ef38591f116187c2f67082e892bcdf5dabc2c252	yes	no	handles display startup and exit registration lifecycle
