metric	value
retained_path	app\gui\system\system_monitor.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\system\system_monitor.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	1
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	1
body_bytes	510
body_concat_sha256	2ca72e1b082381cb08e164e02fdb35c0551337dfb70f034af9c8e0dc95e0fddd
physical_interval	[0x00584EE4,0x00585134)
physical_bytes	592
physical_sha256	9796cba44d61984b788a7ae57ba4eebf51354960c97c9811543fd9ca602bcb76
outer_pool_bytes	82
outer_pool_sha256	9aed89f940f713a497304ea67baf643525fd7a134c9f8765a262ad9dd16704c8
reachable_instructions	198
reachable_instruction_digest	50a5bff7f7c59cd25d59b16124774ee15c96699a2e0b97714ccfb2c57a614887
direct_body_calls	44
direct_body_call_digest	1218544e4791201a13f208f4246078fec380e40a863c060f4b87a295897efa27
internal_direct_body_calls	0
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	0
direct_bl_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	1
stored_entry_pointer_digest	432c7911c79e3afcce8b7babec83fa900c9dba8507606f8e971730efe786892b
path_string_run_address	0x00706590
retained_path_pointer_cells	0x005850EC
path_literal_references	6
path_literal_reference_digest	176dc214d8a5dce15fe974cce2c2421144fe275965d8f9b9b6f255476d704070
boundary_before_16_sha256	67dcec3a217325979530cc68bbd7aa3fcac897c2415ad3dad4a3af627b9f51ae
boundary_after_16_sha256	88d23584940887944273ef28fd1bd7e328c821754632ed3f23e6970d888ab57b
tag_strings	6
tag_string_digest	e4be57b182a0003933383d8e3966fbdd76ba94f17120ba54637b1958582e3434
path_cell_outside_physical_interval	false
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
