metric	value
retained_path	app\gui\teleprompt\teleprompt.c
linked_functions	10
ghidra_discovered_functions	8
additional_recovered_functions	2
path_anchored_functions	7
body_bytes	2408
body_concat_sha256	6de1ef6df7bc2b7e690264c7a6f56a9a7809beeaad1bcb2b7b34fb9c96ee4280
physical_interval	[0x005899A4,0x0058A8E0)
physical_bytes	3900
physical_sha256	242a4ad8b266f47bc3337a7e61d99ee60ae2e86d63041dfe39e38d500d045b65
noncode_bytes	1492
noncode_concat_sha256	21dd508ad316f4a295d66611a263e487a2a760261bd19bd12f651fae4a076559
reachable_instructions	904
reachable_instruction_digest	877d350b2415d45f1b16ed1029be0a4d62b4a6cdc24c65efb247624582767239
direct_bl_entry_sites	37
direct_bl_entry_digest	949a1932cc99591595b20e7769b154b657546e66cefef68062f56cb15e0247cd
stored_function_entry_pointers	3
stored_function_entry_digest	f15c61dae790b91c368a9f6205d247ea446c8545d6678967447dfbb7444039ce
raw_overlapping_pseudo_bl_sites	1
direct_body_calls	162
internal_direct_body_calls	13
external_direct_body_calls	149
direct_body_call_digest	48aef082bd9f64d8dff006dcbd0a041c90f08dd4101cd6d1e12f7fe121e91016
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger IAR runtime LVGL CMSIS-FreeRTOS and nanopb
private_producing_commit_observable	false
production_routed	false
