metric	value
retained_path	app\gui\teleprompt\teleprompt_fsm.c
linked_functions	15
ghidra_discovered_functions	7
additional_recovered_functions	8
path_anchored_functions	3
body_bytes	2994
body_concat_sha256	dd210db68f77f6a431561c3e1c32df1bae6d5b92ea9614b31a14bf089eec650f
physical_interval	[0x0058C836,0x0058D51C)
physical_bytes	3302
physical_sha256	585f9db01429cd44caafd3dba9edaf214f43dd83b3c58f1b1aa778772a6de88b
noncode_bytes	308
noncode_concat_sha256	628920a7de5c1e45cd3018118a39a920eaad0869844b2e049613ab8ff232322b
reachable_instructions	1131
reachable_instruction_digest	50e378c0f1afc230887b6d38b2e139b8f6b0c63a549e44efdfcf561eb807bfb7
direct_bl_entry_sites	29
direct_bl_entry_digest	1566a8c979babebb2b1a140b4f676db8d82515dac0bd2d5e2fb50979a1b92a34
stored_function_entry_pointers	9
stored_function_entry_digest	e045cf1756765951fca8c3ee0ffeca0e7a7ef4679d3521ab3b0d310bfb29fe04
direct_body_calls	179
internal_direct_body_calls	7
external_direct_body_calls	172
direct_body_call_digest	bcb9d05c13865c32d5b838761045b967ba32df3d6bdaaf36d462b6c9664899aa
indirect_body_calls	1
bounded_handler_table_entries	9
raw_overlapping_pseudo_bl_sites	1
strict_interior_ingress	0
third_party_dependency	EasyLogger bounded IAR LVGL nanopb and first-party teleprompt providers
private_producing_commit_observable	false
production_routed	false
