stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x0058C836	0x0058C84E	f603725224a3a06ecaaca64ca81d25b6d344cc2097910906bab1270662d3d1e5	no
0x0058C84E	0x0058C872	d776f99ef4946d9e46e1399ec8174a15baf02a19a04420662b5f44582db2295a	no
0x0058C874	0x0058C882	9dd12f1b5d4ae54f2d32746c8f8f679d6b19993666d5120fe903e59685c8a385	no
0x0058C882	0x0058C892	a4cf9ca50c3453da7778741f469f0fd10752f3a23b475bca27469d43b4f1b2a6	no
0x0058C892	0x0058C89E	a81d697239f1a4471245faef54c40464e454c5925e15287eb5456c31f34bd46f	no
0x0058C89E	0x0058CA2A	7328442f6759f8b2e793c24516ab6aa729ff227b9a1f8f880f7c200b98d2e7e6	yes
0x0058CA2A	0x0058CEB4	5ca9914e03261deff7e4542889e088001e5607c8aa4c5841cf9d48dd0fda350b	yes
0x0058CEB4	0x0058CEC2	20290baa5add351a6090d0b8a3269480c72487e27eabdb45092758360cef866f	no
0x0058CEC2	0x0058CF12	e1a40b1323b488dbd7af49f355a0564a797d50de1167ae6afadfbdc4c92e1dd3	no
0x0058CF12	0x0058CF50	197c1af6785ce92ff57651884f577c3745e348f3e7c3d48ed6f18c86084ae7e9	no
0x0058CF50	0x0058D000	362ae9fc79f995785bf9e735cc393cfa7dfc9c5c092e819c4a05dfedeebbaabb	no
0x0058D000	0x0058D0D0	0deba9e1064325ca57f5cade70fce6fd433b5a14c6ebbceec93b7d3cc35c0193	no
0x0058D0D0	0x0058D228	f8ce2edcecd36ca24eed669afc19df3c57c271e7bfe13dc614ed719ac9dfc374	yes
0x0058D228	0x0058D2CE	9b73102f28c2b478d5cc3777fae31152636e783f586f308b9df9b9812a891b5f	no
0x0058D2F4	0x0058D410	1e39b926c36e1f46c3347e1754a4d001042b4aa90a1f4301bff801a66336baac	no
