metric	value
retained_path	app\gui\teleprompt\teleprompt_timer_mgr.c
linked_functions	13
ghidra_discovered_functions	9
additional_recovered_functions	4
path_anchored_functions	5
body_bytes	1498
body_concat_sha256	489a2793b91e07cb71bc699ff41bb76923055a7b193ed43da1e25fc5efec6276
physical_interval	[0x00588D74,0x005893F0)
physical_bytes	1660
physical_sha256	55d714cf3c983ba2d675f4f13b628099071198668e84251b365ab6b61c84fe15
noncode_bytes	162
noncode_concat_sha256	c69771f3b8e8033b44b7c58b7ef157763883466c1998ad08dc75045eea7c6aa7
reachable_instructions	595
reachable_instruction_digest	3bbc82dc7a42779bea09a95fff9ddca1d78080ca880ef8a69c60c7e50f99a1b9
direct_bl_entry_sites	13
direct_bl_entry_digest	460693959b20089285cfb15a8645a8c73d87bd454b257ce08441c3ac2c5b8a9f
stored_function_entry_pointers	4
stored_function_entry_digest	7075a9526a7843011c6a3397569045fe7d63fb3397aee13d98732ebd88e609a9
bounded_timer_callback_table_entries	3
direct_body_calls	74
internal_direct_body_calls	9
external_direct_body_calls	65
direct_body_call_digest	88e2ec1db3743e4ae300296be2f0e0506c58e50a517aa0c22358214a215cd53c
indirect_body_calls	2
strict_interior_ingress	0
third_party_dependency	EasyLogger exact CMSIS-FreeRTOS tick wrapper and closed first-party providers
private_producing_commit_observable	false
production_routed	false
