stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x00588D74	0x00588DF4	a914af51a4d7f5eddf287378e2c15ce012bde6253a53f49688157fbfdb05d68b	no
0x00588DF4	0x00588E42	3a4b0f244d371da40731989726dfe5020ab92fe9fd16a2dbb60f501d587d97c1	no
0x00588E42	0x00588ECC	783ef005df3c3f914aff6421af9c2ce6fb8ec0870879dcab7cd9b09c266afc20	no
0x00588ECC	0x00588F1A	595574a96f33815edc987cd982e7fc14750459590491b8294bb73e5ae961a1cd	no
0x00588F1A	0x00588FE4	d8f4eeb4067511be1b4a4eae22de2cc5c672749135236a54ac00ef96848f20eb	yes
0x00588FE4	0x005890AE	6fc458e434d99cdd708e52491b7b3584665b266e14e91c12de22cea59be81b0a	yes
0x005890AE	0x005890EA	424e268ba0251c7fc4c57052f6638f283374722c65c38bf52faa1483a44e6765	no
0x005890EA	0x005890F6	0a5164ffa5716bb530555f9d671adea45d8746c3e3ca9645a2af07056abc70e4	no
0x005890F6	0x00589152	e2f30046707b5af67217deb914a4727848d7ace44e8c25b0dbca4a6e6ef4cd97	no
0x00589152	0x005891B6	8d7e3019caee3a73db9536a8345b1281b4756aa58a546cedbeec37b43decf236	yes
0x005891B6	0x0058922C	ba55f8a5f8048f8fb5fdb74e84f2cde93ef199fcadc91adbf87f6161faaa0e2b	yes
0x0058922C	0x0058930A	35d050e0ba369727121095c472a2bab0addb7379aa7fb72be0036328eb8f3814	yes
0x0058930A	0x0058934E	8d02b347f802dd44f6ced56a568e248f7aa20e373c7e44160184e95ec586e430	no
