metric	value
retained_path	app\gui\terminal\terminal.c
linked_functions	9
ghidra_discovered_functions	1
additional_recovered_functions	8
path_anchored_functions	1
anchored_by_baseline_ghidra	1
body_bytes	1144
body_concat_sha256	507e4a96bafe3b5ea6e7de64e98c21cd903cc609beacec11a8308ad2205c0414
reachable_instruction_bytes	1144
reachable_instruction_sha256	507e4a96bafe3b5ea6e7de64e98c21cd903cc609beacec11a8308ad2205c0414
physical_interval	[0x005E42EC,0x005E47CC)
physical_bytes	1248
physical_sha256	581cc1dcd075efda58d4a18c7def2e8bbf928b6ec12937b7470b6a679c2d80bf
outer_pool_regions	1
outer_pool_bytes	104
outer_pool_concat_sha256	82ed65fd51b24400f5fb800359d7ea1950cc688ea635cc7b5cfb4d2cc00d53c4
path_run_address	0x0070FEA4
path_pointer_cells	0x005E4778
direct_bl_entry_sites	68
external_direct_bl_entry_sites	60
direct_bl_entry_digest	0486e1f8c300c8b56c1c40db514b6ad280dadef244694a26fe32729f714f4e31
direct_body_calls	73
internal_direct_body_calls	8
external_direct_body_calls	65
direct_body_call_digest	51f63407a3d1e68ac5d864d2a9fd143bdfb4748eb942bce6b9ca776675812871
indirect_body_calls	0
stored_entry_pointers	3
stored_entry_pointer_digest	568b4e27451beae452cd2a1847b9c1fc18e53d6dbe0104c2e87e1a01795545e0
strict_interior_raw_bl_decodes	0
unrecovered_direct_object_targets	0
third_party_dependency	EasyLogger diagnostics, exact CMSIS-FreeRTOS mutex wrappers, and bounded IAR DLIB primitives only; protobuf and UI command routing remain first-party
historical_source_available	false
private_producing_commit_observable	false
production_routed	false
