metric	value
retained_path	app\gui\terminal\terminal_data.c
linked_functions	44
ghidra_discovered_functions	4
additional_recovered_functions	40
path_anchored_functions	4
body_bytes	2902
body_concat_sha256	91a39f6debcb7038af836313f4a9e6db9b75c58c1e197919be911b153fab90ce
physical_interval	[0x005970A8,0x00597C6C)
physical_bytes	3012
physical_sha256	1dd9b7530c35ec637447595ca4ed8db67c81761e582b78b9531e0881978dbef8
noncode_bytes	110
noncode_concat_sha256	7052040913232eed37d18b21d92f2bf38807cbb76d7a0e66349c781348f36821
reachable_instructions	1123
reachable_instruction_digest	60c6f1a5c4bde2fa7aee488395580ed5cd043f743be91a627a18660851cf9e70
direct_bl_entry_sites	180
direct_bl_entry_digest	cb9b3a0f9f38b9045efdd678467753e4755e19d14ea64df707afec3644a2bde8
stored_aligned_function_entry_pointers	0
raw_instruction_word_interior_collisions	1
direct_body_calls	73
internal_direct_body_calls	28
external_direct_body_calls	45
direct_body_call_digest	9c8bf0c8c4ff5f174594739c78a63d6e6b75e7b7f9aecdba4bbeb2b54864d22c
indirect_body_calls	0
strict_interior_ingress	1
strict_interior_ingress_digest	4da92b0c366bf40a64b4041b7562c7685a9bfe155c48e308be281f0aacb655a6
third_party_dependency	EasyLogger and IAR DLIB edges only; closed time-service provider
private_producing_commit_observable	false
production_routed	false
