recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	entry_evidence	qualification
1	td_ring_index_wrap	semantic behavior label	0x005970A8	0x005970C0	24	af94316399f1bb66a91daee2281d3322bfcf6a333693586a00b556f1aaaff819	no	no	six internal BLs	mod-64 ring index arithmetic for the session ring
2	td_session_ring_reset	semantic behavior label	0x005970C0	0x005970F0	48	0ef6681f6a95ee33d7ca630c83f5fde30ca4a3b5dff16ceb664c35cd27f054b5	no	no	four internal BLs plus stored interior Thumb pointer at 0x0058B787	clears the session ring and binds the monotonic session counter
3	td_state_reset	semantic behavior label	0x005970F0	0x00597108	24	907d99adf6ef1c8d507c141c22fcc5670b63ac90895c290bd3601fad75662772	no	no	three external BLs	clears the whole terminal data state and resets the session ring
4	td_ring_reset_wrapper	semantic behavior label	0x00597108	0x00597110	8	17b39126b50a4eddab9f8545c4a277e6e9a5fde38b6e39e3571d569d333f6fca	no	no	three external BLs	re-enters the session ring reset
5	td_notify_state_clear	semantic behavior label	0x00597110	0x00597124	20	69b02e7422a91c92e1bfb18b2d553a7b5136cacbfe166a2618bd17db3e6394c5	no	no	eleven external BLs	clears the notification ring state region
6	td_session_struct_clear	semantic behavior label	0x00597124	0x00597138	20	0a77ffc776129fa1e2e7986f3c52720762dd3819c8bf3f5020fe7f46a5dbf2a8	no	no	eight external BLs	clears the 0x84c-byte session struct
7	td_find_record_index	semantic behavior label	0x00597138	0x00597188	80	255592a9d591f2a08d4b1f4aac2d70d2fad7a048c624fbe702cef1892e0e86b5	no	no	three internal BLs	finds a notification record index by session ID with record-count bound
8	td_current_record	semantic behavior label	0x00597188	0x005971CC	68	5b146a645289734dd63b7a34a853d36d35f857981019e74bd4a29420e36ea0ac	no	no	four internal BLs	returns the bound or matching notification record
9	td_temp_record_clear	semantic behavior label	0x005971CC	0x005971F6	42	fe261f2897d3a616c230fe8a14d622fdccc31f94d304b8bf6f81a4f7fa105bcc	no	no	internal BL at 0x00597588	clears the temporary record slot
10	td_temp_record_invalidate	semantic behavior label	0x005971F6	0x0059722C	54	3e28303199a79195db0e49a457001bf38bdee7eceab9ef9e19b12636154e0d7e	no	no	internal BL at 0x0059757A	invalidates the temporary record slot and marks the state dirty
11	td_bounded_string_copy	semantic behavior label	0x0059722C	0x0059726E	66	6532e7dc1e22e46627f64355621c803d6f1aa59849686dbc4f93c3bf27fc3177	no	no	internal BL at 0x0059730A	copies a counted string with NUL termination and length bound
12	td_session_find_by_id	semantic behavior label	0x0059726E	0x005972CE	96	0789138a5558587c5624a99b11640c96c8988d870ddb792b02f57c35b0bf20ae	no	no	internal BL at 0x00597AFC	finds a session ring entry by ID walking the ring backwards
13	td_record_build_from_event	semantic behavior label	0x005972CE	0x00597318	74	0b30bd5a23dd3096bcd23273e06c65b597e3a6eeaa941d3785724ee993db02fa	no	no	two internal BLs	builds a display record from a received event with type mapping
14	td_state_ptr	semantic behavior label	0x00597318	0x0059731E	6	dc5b8a550855bb49f7c023961e93b179f10ce5920c05b3dcd53e951e64e6d0c9	no	no	six external BLs	returns the terminal data state pointer
15	td_session_struct_ptr	semantic behavior label	0x0059731E	0x00597324	6	dc5b8a550855bb49f7c023961e93b179f10ce5920c05b3dcd53e951e64e6d0c9	no	no	seven external BLs	returns the session struct pointer
16	td_ring_ptr	semantic behavior label	0x00597324	0x0059732A	6	820102e82ce00d519242e028ec662a52136ac7e4624f2cc73a42d0c9342c94ab	no	no	ten external BLs	returns the session ring pointer
17	td_active_session	semantic behavior label	0x0059732A	0x00597344	26	f2b1aade4da6570646835dd3fa051ba82663994b48c760691debeaf541c4ca5e	no	no	eleven external BLs	returns the active session record when the state is bound
18	td_state_ptr_alias1	semantic behavior label	0x00597344	0x0059734A	6	520d6dafebe732851ebf3cad96bbea0ba44a6aa08962d3a342120bca052b24f2	no	no	five external BLs	returns the terminal data state pointer
19	td_state_ptr_alias2	semantic behavior label	0x0059734A	0x00597350	6	1b72e331cca4c7e7a0e023ae103186ef71827bdf9d5db8e1dfe3c5af287327ee	no	no	external BL at 0x005E8CB2	returns the terminal data state pointer
20	td_last_session_record	semantic behavior label	0x00597350	0x0059737C	44	88d416a8dd3fa5e241993c6d3e3d2d3e02a037f3c43b00ce29036e60073451b6	no	no	external BL at 0x005EABF6	returns the newest session ring entry when present
21	td_session_record_at	semantic behavior label	0x0059737C	0x005973AA	46	1fd7cf4a407d1f4e43ceee1531f930299ed07e38437aa51c7a983de94e17853e	no	no	six external BLs	returns the session ring entry at a bounded index
22	td_flag_get	semantic behavior label	0x005973AA	0x005973B2	8	cb5b56ef95ea08e4b71d33ddc48d8aa96299198739e6c114a6fe07be783c128b	no	no	external BL at 0x00583602	returns the retained display flag byte
23	td_has_active_session	semantic behavior label	0x005973B2	0x005973D4	34	531217a2d4b484027cbe6226d70bb9f0adbb46fc32ffcbb97fa6b969eb2d3381	no	no	seven external BLs	reports whether a bound active session exists
24	td_counter_a_get	semantic behavior label	0x005973D4	0x005973DC	8	e44f6e341a3cd693da53256c8126a2917da9ca705401ff7a0b9552bd413f3db1	no	no	five external BLs	returns the first retained session counter
25	td_counter_b_get	semantic behavior label	0x005973DC	0x005973E4	8	8071ede2b3683d9fe848c9f8932b245c47291d4b844460e55665d26fa7fc7d47	no	no	twenty-eight external BLs plus two internal BLs	returns the second retained session counter
26	td_record_status_get	semantic behavior label	0x005973E4	0x00597446	98	f99181afa78de897fb33b533cbfd61fa0129676020a74e25e8ec1ad5610f4224	no	no	three external BLs plus internal BL at 0x0059744C	reads a record status byte by session ID with record-count bound
27	td_record_status_read	semantic behavior label	0x00597446	0x00597452	12	97e41ea3316c24c35f647775f4a96064cb3f26f658aba6510b498c7bdd6b8f9f	no	no	two external BLs	reads the bounded counter then the record status
28	td_record_status_write	semantic behavior label	0x00597452	0x00597464	18	da0dfdb1aa2a3842f2869b419aebb4ce38839e8298c1db6bf96338caa2e57261	no	no	two external BLs	reads the bounded counter then writes the record status
29	td_record_status_set	semantic behavior label	0x00597464	0x005974D4	112	d3a7bfe74a3b6f520f5019eac100de4e76ea9bfcf4f199145f90fcaf7dd9fc69	no	no	two external BLs plus internal BL at 0x0059745E	writes a record status byte by session ID and clears the pending flag on completion
30	terminal_data_dismiss_query_notification	exact retained diagnostic symbol	0x005974D4	0x00597544	112	d2af0e6c5ec1481d6b006d9df84c44b2118d1cd7ab30a472fe1ca9592c8848fe	yes	yes	five external BLs	dismisses a query notification and logs via terminal.data
31	td_record_in_use_get	semantic behavior label	0x00597544	0x00597572	46	21e5a66c0ca58e0ac040351970f7c78205c4ab1d76ac60a8ca13775e8b2f662c	no	no	four external BLs	reports whether the record for the current session is in use
32	td_flag_set_with_reset	semantic behavior label	0x00597572	0x0059758E	28	3604800b8e824bb7cbb6f0d9724539652dfd3b4b02c13a2b33efe8ca4e1775f0	no	no	four external BLs	sets or clears the retained flag and resets temp state on clear
33	td_flag_b_get	semantic behavior label	0x0059758E	0x00597596	8	68aa29fa8a874e9b624d990b481d374e44865ab05fcc8ebf7e34e2a0e289f52d	no	no	four external BLs	returns the second retained flag byte
34	terminal_data_start_response_timer	exact retained diagnostic symbol	0x00597596	0x00597652	188	256938c4d06c58a54331b8970b86669b17ab5e895a26c5511b7edd5164e54767	yes	yes	external BL at 0x005E5BCE	starts the response timer for a session with UTC logging via terminal.data
35	td_record_timer_clear	semantic behavior label	0x00597652	0x00597664	18	afd46d79593ecb295ce27902b767be10f10fea0fe1f961ee5411f8865f6d0267	no	no	three external BLs	clears the response timestamp of the current record
36	td_record_flags_clear_all	semantic behavior label	0x00597664	0x0059769C	56	9eaae957fb8292832727f5850f79e8cc6597d3c925603ca521f8243853f71051	no	no	external BL at 0x005E9EE0	clears the pending flag of every record and the global counter
37	td_record_elapsed_get	semantic behavior label	0x0059769C	0x005976D8	60	1a9e90001ccc515f9f24f0a90ad8ce535aced6a89fb60caf64eb9e7af2c7649e	no	no	two external BLs	returns elapsed time since the record timestamp via the closed time service
38	td_ring_write	semantic behavior label	0x005976D8	0x005977CE	246	2325e26f174de422c6cf6268410502e37a241ef4c5449eaf3f54daf2256d4487	no	no	external BL at 0x005E8F84	writes bytes into the 0x7ff-byte ring with wrap and producer-consumer update
39	td_state_sync	semantic behavior label	0x005977CE	0x005978EE	288	41945beeffcf2bad80c3dc0db83978cbdbe991d8e953605c2aba82a4f554954a	no	no	external BL at 0x005E9C98	synchronizes the session state snapshot and per-record fields with bounded copies
40	terminal_data_bind_temp_session_response_timer	exact retained diagnostic symbol	0x005978EE	0x005979B2	196	e578ddb7102fe6ce0787bb801c16a5e57e59e82e0f09feaad18f7caaf454b2b8	yes	yes	external BL at 0x005E9D2E	binds the temp session into the response timer with logging via terminal.data
41	td_session_bind_store	semantic behavior label	0x005979B2	0x005979CE	28	ba9c7a6397c65234cf1f9af923f3772b6dae4339326f3d98d1ba303193cf2824	no	no	external BL at 0x005E8350	stores the session binding and marks the state bound
42	td_session_ring_append	semantic behavior label	0x005979CE	0x00597A96	200	43c49d8e3eba8eb90055e39b9e01680de7da2611062eb3f3d6fed3aa0bab28cd	no	no	internal BL at 0x00597BA6	appends a session ring entry with wrap, reuse, and sequence assignment
