metric	value
retained_path	app\gui\terminal\terminal_session_list_ui.c
linked_functions	10
ghidra_discovered_functions	2
additional_recovered_functions	8
path_anchored_functions	2
body_bytes	1966
body_concat_sha256	562ef9adb9ccbf670331bc46e1c78c120c2e67adcc1b448ef97812e0ca73cb06
physical_interval	[0x005ED1EC,0x005EDA64)
physical_bytes	2168
physical_sha256	f264eaf19cf21354df052ec9e891a0f37d1edfe397195f846247841e6e7fb9a5
noncode_bytes	202
noncode_concat_sha256	e30a060b0c491fd1438d3a4d76b160690702f8a3f39b30b83e2ee7950aced5c9
reachable_instructions	738
reachable_instruction_digest	6541d40cad974ef3f22d8edfa6761afeacab852a0f84980fec40433d8e1d19db
direct_bl_entry_sites	3
external_direct_bl_entry_sites	0
direct_bl_entry_digest	0f84ca4a50c55908c8b7f93c0512ad678d5749800070c952e7537ca679a10e7c
stored_function_entry_pointers	25
stored_function_entry_digest	449fdf2afe1b876b4a3322b6f403c488a71f306160128b56abb1b1a5bb10f076
raw_unaligned_interior_bl_collisions	0
direct_body_calls	134
internal_direct_body_calls	3
external_direct_body_calls	131
direct_body_call_digest	6c4abe31a97553a804d5848380857223517cadcffc8e15adc920d56fff3fcf94
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	LVGL EasyLogger and first-party terminal providers
private_producing_commit_observable	false
production_routed	false
