metric	value
retained_path	app\gui\terminal\terminal_ui.c
linked_functions	99
ghidra_discovered_functions	23
additional_recovered_functions	76
path_anchored_functions	2
body_bytes	13200
body_concat_sha256	7db84621a6a39b04527a926d9962b4a0ad76f09fe93f35100acf335e1437fef1
physical_interval	[0x005E47CC,0x005E7EA4)
physical_bytes	14040
physical_sha256	c1bdc758e4d8353cd31df4328927e81a91b0a8d5fd90358e34ac2022de9dadee
noncode_bytes	840
noncode_concat_sha256	fec5543d3061a60c83f7a213cbdbd239c8f585e0dc5153f53994f3165c025ca8
reachable_instructions	4858
reachable_instruction_digest	0c2baf9a826518ab10fc4ed9bf72b779e5ea92a8f47261284b9e581135b84c61
direct_bl_entry_sites	197
external_direct_bl_entry_sites	34
direct_bl_entry_digest	8da340421db4abbd85d44714e468ed52987c2300aac6b8e509671cc59f9a10b4
stored_function_entry_pointers	135
stored_function_entry_digest	9a440438e4de67483c29d68ac0d4c90a82d68eedd7107cdb3e0fbc8f0967b119
raw_unaligned_interior_bl_collisions	4
direct_body_calls	808
internal_direct_body_calls	163
external_direct_body_calls	645
direct_body_call_digest	37e01924ad81bfa486038b8bcd2752335c368e33e855c8e70d5b6d7202a388cb
indirect_body_calls	1
bounded_local_callback_targets	0
open_heap_dispatch_sites	1
strict_interior_ingress	0
third_party_dependency	LVGL EasyLogger IAR DLIB CMSIS-FreeRTOS and first-party terminal providers
private_producing_commit_observable	false
production_routed	false
