recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	text_stream_create	semantic behavior label	0x00552B30	0x00552BE6	182	fc89a1ef8d0899045eb2fb3ac25980f724237a2c76686aecd85bc14764a2d941	no	1 external direct BL site	allocates a 0x30-byte service, mutex, and two initial 512-byte text buffers
2	text_stream_destroy	semantic behavior label	0x00552BE6	0x00552C20	58	596388cc6736430d27ae6db2e40e520ecda45f481999af32f1cfbfd15bcad0c7	no	1 external direct BL site	stops animation, deletes synchronization objects, and frees both buffers and the service
3	text_stream_set_text	semantic behavior label	0x00552C20	0x00552CDC	188	016939a568fb7eb6c123000d76c3b95e7af315e06fdf08f8bcf5cf12bd450441	no	3 external direct BL sites	prepares replace or append text, grows the pending buffer, applies mode flags, and signals completion
4	text_stream_current_text	semantic accessor label	0x00552CDC	0x00552CE8	12	2cf0d016d2b957a67c08fb46e3d50a19958650de5adb3799ace5ae65a1ab1a52	no	2 external direct BL sites	returns current text or the shared empty-string sentinel
5	text_stream_pending_text	semantic accessor label	0x00552CE8	0x00552CF4	12	0abe2bab0eeadec1b7e626b18573cf408bc2633ff6bcfc53c6aa663173920127	no	4 external direct BL sites	returns pending text or the shared empty-string sentinel
6	text_stream_current_length	semantic accessor label	0x00552CF8	0x00552D04	12	5f5e0353ab19242c4602755d7d0371071b0fab948695094cb45b8c2cf2eb0cfe	no	11 external direct BL sites	returns current emitted-byte length
7	text_stream_pending_length	semantic accessor label	0x00552D04	0x00552D10	12	584a55e3feae5f8770b811ef14f850131ba350bcaf0cfbfa40cf702bd5cbcee2	no	5 external direct BL sites	returns pending-byte length
8	text_stream_reset	semantic behavior label	0x00552D10	0x00552D40	48	04e3d048c2e3ba645b6e47e95d8b4df2f224347483caf36c17cc75a0db3e1731	no	1 external direct BL site	stops animation, clears both strings, and resets lengths
9	text_stream_stop_animation	semantic behavior label	0x00552D40	0x00552D74	52	cd6cd9a9f0e118428a196c18cfffd85e114922b2e30e2548316e1aa565055520	no	3 internal direct BL sites	marks stop, acquires the mutex, stops the timer, and releases the mutex
10	text_stream_stop_and_delete_animation	semantic behavior label	0x00552D74	0x00552DB2	62	9bb9d9ffd28504936bf308e7eb357d1e95ac7309369072a74671c0c069d0f328	no	1 internal direct BL site	stops and deletes the timer under the service mutex
11	text_stream_start_pending_animation	semantic behavior label	0x00552DB2	0x00552DF0	62	8a5ede06e3b97663d3583be958994e74d08cc29dbac4003a6e108d19dc0834d2	no	2 internal direct BL sites	starts the existing timer when emitted text trails pending text
12	text_stream_apply_update	semantic behavior label	0x00552DF0	0x00552ECC	220	16f0658b2ec1d6e76a4f5bdfb8623eadc7cee4e752342b6e05307e79634956e0	no	1 internal direct BL site	handles replace, append, immediate, and animated update modes with guarded callback dispatch
13	text_stream_common_prefix_length	semantic behavior label	0x00552ECC	0x00552F0A	62	210f44841a3dab904874c21ddce551dc78e1cd85ce217f814dedd2399c6c6cc6	no	1 internal direct BL site	computes the byte length of the common prefix between two strings
14	text_stream_animate_mode	semantic wrapper label	0x00552F0A	0x00552F14	10	0c021a4066b2480a9dd914629e88b1f00415700f254aa1e433c375a907be5ed0	no	2 internal direct BL sites	forwards an 8-bit mode to the animation starter
15	text_stream_replace_and_animate	semantic behavior label	0x00552F14	0x00552F6A	86	b33334443b7acc88a17fc8ab53e4efe81122dc94470f11364076c4eb6e28a663	no	2 internal direct BL sites	copies pending text, terminates it, dispatches the callback, and starts animation
16	text_stream_start_animation	semantic behavior label	0x00552F6A	0x00553050	230	3fbea6a9c9b978f5c5a1c4d4fe9cd5d2ac737b1ea4fa241d9c7c2a16c980dd4b	no	2 internal direct BL sites	creates or restarts the periodic animation timer and uses a PC-relative animate_text callback
17	animate_text	exact retained callback string	0x00553054	0x005531A8	340	7ac5b27ceef26fd63f3b28095bca3d4d5e59ac10dd336e517308f68cc85bbbf1	no	PC-relative callback construction at 0x00552FD0	copies one complete UTF-8 code point per tick, signals the callback, and stops at pending length
18	text_stream_copy_until_boundary	semantic behavior label	0x005531A8	0x00553274	204	d1681458fce61c5797971329c15cb8c91149572b8456fdff4b32cc6cef11354b	no	1 external direct BL site	copies a bounded pending-text prefix under the mutex and conditionally signals the callback
19	text_stream_copy_bytes	semantic behavior label	0x00553274	0x005532F8	132	b58ef55b6a09dfd86742aa57441fd45d6a4fe046161710bc896ef3fd64684adc	no	2 external direct BL sites	copies a caller-supplied byte span under the mutex and conditionally signals the callback
20	text_stream_is_complete	semantic predicate label	0x005532F8	0x00553338	64	cf2c9d4286c03fbdaeff26a5417d5c19d18a38871fad882c98d40e48f8907a98	no	1 internal direct BL site	tests whether pending text exists, lengths match, and the animation timer is absent
21	ensure_text_capacity	exact retained function string	0x00553338	0x005533AC	116	f9cb49d5b9fed1617eff7430ce7e2e7f26e9e771fdba28bd05d315aae47192fd	yes	10 internal direct BL sites	doubles or raises a text-buffer capacity through the synchronized realloc wrapper and logs failure
22	text_stream_prepare_input	semantic behavior label	0x005533CC	0x0055341C	80	13264f5d99ec03d10ebc5e9c4a97aed5f2c001ec3fa92561fb1560b9d134fe8d	no	1 internal direct BL site	formats or copies caller text according to an 8-bit preparation mode and returns its length
23	text_stream_apply_animation_bounds	semantic behavior label	0x0055341C	0x0055344E	50	622020437af6d1558402f49d115900684e12d2e5eedb83002e48ed0f1fee35e0	no	4 internal direct BL sites	applies four LVGL size-style properties to a generic animation object
24	text_stream_animation_presets_init	semantic behavior label	0x0055344E	0x00553730	738	ddb000b577a2b46b5ac61d7787eb6d937fa60eb8ab3c760a109e3fd1598b2c01	no	1 external direct BL site	decodes and creates four generic-animation presets, applies bounds and LVGL flags, and marks the global preset set initialized
25	text_stream_animation_presets_deinit	semantic behavior label	0x00553730	0x00553794	100	dce6cc1b92e278a2a3203f4246a64d7073e0bb381be8bff8f0b86bedf803d3b0	no	1 internal direct BL site	destroys four generic-animation presets and clears global preset state
26	text_stream_animation_preset_get	semantic behavior label	0x00553794	0x005537CC	56	f6dd38b10c6acd988601c92fb3f98e3d23ee21f9b0f59ddf7983254a8312d496	no	1 external direct BL site	returns an initialized generic-animation preset for indexes zero through three
