metric	value
retained_path	platform\threads\thread_audio.c
linked_functions	31
path_anchored_functions	3
raw_path_references	24
raw_path_referencing_functions	13
body_bytes	2954
body_concat_sha256	fe72e2aa3c1df48e4c23ab953a0cfec61b336fce338bb782c9f57143c08d9e04
physical_interval	[0x0053C2BE,0x0053CF78)
physical_bytes	3258
physical_sha256	93f6ab6fc3ae5b0a010e129af409e66ffea08ec30210defc299b8ca3daa39aa9
outer_pool_regions	3
outer_pool_bytes	302
outer_pool_concat_sha256	7239351882f3e42b71f940232283b20fdf23d6ff62f7398fc539d6ca7d562c22
inline_alignment_bytes	2
direct_bl_entry_sites	43
direct_bl_entry_digest	0a0dd4d6d6326d0b414452d2a5db9a7468570e875bea710a6fdc9341502272c9
strict_interior_bl_entries	0
stored_exact_entry_pointers	3
stored_exact_entry_pointer_digest	37c06719e55019815feaff7850615694941329642e63205a1a8bea5050492e6d
direct_body_calls	203
internal_direct_body_calls	20
external_direct_body_calls	183
direct_body_call_digest	8b5ff513f63773c26a81ac0ea4dcbea82fd8afb9b92951ccf40024433edb50f4
indirect_body_calls	1
embedded_third_party_definitions	0
third_party_dependency	CMSIS-FreeRTOS v10.5.1 EasyLogger 2.2.99-compatible core and one bounded IAR DLIB memset
new_version_discriminator	false
private_producing_commit_observable	false
production_routed	false
