source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	AUD_CodecAudioCheckTimerStart	exact retained diagnostic symbol	0x0053C2BE	0x0053C31C	94	20501530833ec52b163d0682049e84144835decf828ac27332c8e5426a7dfc7d	no	G2 audio-thread policy	starts the 2000-tick codec-audio watchdog timer and diagnoses failure
2	aud_codec_audio_check_timer_stop	semantic timer wrapper	0x0053C31C	0x0053C330	20	73f3285c82e5f322d8621a29b59090dedd0630489a7e2216e9b550d33e109579	no	G2 audio-thread policy	stops the codec-audio watchdog timer when allocated
3	aud_pdm_counter_reset_callback	semantic registered callback	0x0053C330	0x0053C33A	10	88d3bdb75577f8bcd892b39493a57262011eaa79072471b3492982e0d19016ab	no	G2 audio-thread policy	forwards PDM-counter reset through the callback service
4	aud_codec_counter_reset_callback	semantic registered callback	0x0053C33A	0x0053C344	10	c25dbe18d256904f47c023164f55134237a9ccfd2f507324b7ee8b005b702b17	no	G2 audio-thread policy	forwards codec-counter reset through the callback service
5	AUD_ThreadInit	exact retained diagnostic symbol	0x0053C344	0x0053C3EE	170	9edbfe4de8cf239476a15822bdec1c6ae48474bfa3dee681a67d8b22e0ac9545	no	G2 audio-thread lifecycle	creates the audio thread and stores its handle
6	AUD_ResourceInit	exact retained diagnostic symbol	0x0053C3EE	0x0053C4F2	260	c4f5ff28a59f8a68bcee0449f41aaf888b7867ed756050b351ab697b6f74e4e4	no	G2 audio-thread lifecycle	creates the 50-entry 12-byte queue and codec-audio watchdog timer
7	aud_thread_terminate	semantic stored lifecycle callback	0x0053C4F2	0x0053C50A	24	c888204a1805f187d058c13f676a9574a7fa19ff7418cbb35eeaef03755052ac	no	G2 audio-thread lifecycle	terminates the recorded audio thread and clears its handle
8	aud_codec_dfu_check	semantic codec-DFU wrapper	0x0053C50A	0x0053C514	10	4ed5b228b64a6542e61e441a49da402cae15fca0767b26ca32d1a4bb0bdf6d75	no	G2 audio-thread policy	invokes the already closed codec-DFU check with the normal-mode selector
9	aud_codec_mode_init	semantic role-dependent initializer	0x0053C514	0x0053C52A	22	f7f9f4f9eb0f7e846126ce6aa1612b1a043c3e23b73bd49fcde8952bb6c3ef93	no	G2 audio-thread policy	selects codec DFU or the alternate first-party initializer by product role
10	AUD_ThreadHandler	exact retained diagnostic symbol	0x0053C52C	0x0053C5AC	128	ab73639db4046591a0f7b2018285bbae3b6ea46201a67689c318376c17a3d5d0	no	G2 audio-thread lifecycle	initializes callbacks codec and resources then waits forever on thread flags
11	AUD_MessageProcesser	exact retained diagnostic symbol	0x0053C5AC	0x0053C638	140	ae95b5851417fb1f2bd9e0507ab2f04ca8e2b2fbb9f921b9e2c2d410e78d6b65	yes	G2 audio-thread dispatch	dispatches eight known message IDs through a runtime first-party callback table
12	AUD_SendMessage	exact retained diagnostic symbol	0x0053C638	0x0053C6B2	122	1ba20aa804d5938a30b726518252b676b3bd75b0999ee56f724b1ca20f0b689c	yes	G2 audio-thread transport	puts a 12-byte message on the queue and sets the audio-thread wake flag
13	aud_send_codec_dma_message	semantic message wrapper	0x0053C6B2	0x0053C6D2	32	d21bd7190d87c3eb34a13dc485bf6cd8f5d4733bc5e75fa6687b43e2b6bb7e5a	no	G2 audio-thread transport	sends message type 2 with the current RTOS tick
14	aud_send_codec_control_message	semantic message wrapper	0x0053C6D2	0x0053C6F2	32	2ba17b862c8e572c6407e61704335c4ea4364c7e60746b589f92194c4f4f988f	no	G2 audio-thread transport	sends message type 3 with the current RTOS tick
15	AUD_CodecDmaInt	exact retained diagnostic symbol and path anchor	0x0053C6F2	0x0053C776	132	0a28cd8dd5357296c4190a852c9dfab681687f4f511dda6757eee7d6e1fa3ce7	yes	G2 audio-thread policy	accepts DMA interrupts within 40 ticks and forwards the inactive RX buffer timestamp
16	aud_pdm_counter_sample	semantic PDM sample wrapper	0x0053C776	0x0053C7B0	58	88ec6d7c5564c71c31ceae63d078a2edadb194319a13046afa36fd1da6eb682f	no	G2 audio-thread policy	selects the role-specific PDM counters and reports them to the audio algorithm
17	AUD_PdmCtr	exact retained diagnostic symbol	0x0053C7B0	0x0053C838	136	4a5941c549eaa54b0dbaf440e19cfb3df9f79e081dea4dbeec8190fe94c11c7d	no	G2 audio-thread policy	logs a PDM counter and opens or closes the role-specific audio path
18	aud_codec_route_control	semantic codec route helper	0x0053C838	0x0053C860	40	2fc9324054ff70e3359c6e29850b6103b381ec87dad72c83b72cbfe2009eb5dd	no	G2 audio-thread policy	opens or closes codec DMIC I2S and the GX8002B I2S driver as one route
19	AUD_CodecCtr	exact retained diagnostic symbol	0x0053C860	0x0053C92E	206	50b79c705d0563fcd4fcf9dc22539ba3b4a07588cca999d1941f968cc8d6f8f8	no	G2 audio-thread policy	logs codec state and applies role-specific codec power and I2S transitions
20	AUD_CodecAudioCheck	exact retained diagnostic symbol	0x0053C92E	0x0053C9FA	204	00ca490c806612e19b175bfce7d3371a6fadc7b23cf947097c217947a1095bf4	no	G2 audio-thread policy	checks accumulated codec activity and requests restart when fewer than 20 events arrive
21	aud_codec_check_trigger	semantic audio-check callback	0x0053C9FA	0x0053CA10	22	cf22db3db8ebcca485e9f3d4a0ea8a71834146b44e07ad9ef6135809f18f497a	no	G2 audio-thread policy	forwards the callback state to the codec-check provider
22	aud_send_message_type0	semantic message wrapper	0x0053CA10	0x0053CA32	34	c2d1b57648d197e19ceb04fd425d31880813f6475ee9f4e67a4896d02704f468	no	G2 audio-thread transport	sends message type 0 with one byte of payload
23	aud_send_message_type1	semantic message wrapper	0x0053CA32	0x0053CA54	34	0b02c376d70711716f59de6478fb4cc6bd70979e9a0ecd7ffc1436e85e1cbb66	no	G2 audio-thread transport	sends message type 1 with one byte of payload
24	aud_send_message_type4	semantic message wrapper	0x0053CA54	0x0053CA72	30	80d894f6f554c433550d863db4e4658118cc1a7fec2759b785e516a2f7458202	no	G2 audio-thread transport	sends message type 4 with one byte of payload
25	AUD_CodecIntNotify	exact retained diagnostic symbol	0x0053CA72	0x0053CC8C	538	f54ba1aa17f334c5e0a651ec414089ba8e78afd3eac73392a3b97f26fd9c9aa5	no	G2 audio-thread policy	validates codec power GPIO input and terminal state then maps voice events to input/VAD policy
26	aud_send_message_type5	semantic message wrapper	0x0053CC8C	0x0053CCA6	26	4237e64f9fdf6804ce3858153703d4387903b1482b2d08649432a452e1ba8846	no	G2 audio-thread transport	sends empty message type 5
27	AUD_PeerSyncMsg	exact retained diagnostic symbol	0x0053CCA6	0x0053CD38	146	6efbce9d63673e473065478114b24b8c8c1ca37a48f910b10c30f0691660d1d5	no	G2 audio-thread policy	validates and applies a peer audio-sync message
28	aud_send_message_type8	semantic message wrapper	0x0053CD40	0x0053CD62	34	de8541b0f2f16ffe7c0cf8f2f572bf46697d8ff9e111436246da7643ec3be246	no	G2 audio-thread transport	sends message type 8 with one byte of payload
29	aud_message_loop	semantic queue consumer	0x0053CD62	0x0053CD8C	42	b4bb57ed3d488c76c4c076cff6855659e63eb7938bac8794caab57a39eea8e26	no	G2 audio-thread lifecycle	drains the queue without waiting and dispatches every received message
30	aud_thread_flag_dispatch	semantic thread-flag dispatcher	0x0053CDAC	0x0053CDC2	22	e14ba8c4515c276ac662673a2ed78959db832a0ee8545e1cc2047f355d68e015	no	G2 audio-thread lifecycle	drains messages on bit 9 and exits on bit 8
31	AUD_ThreadExit	exact retained diagnostic symbol	0x0053CDC2	0x0053CE72	176	7a922885eacbf28eae323781954fcfc513bf96f5aaa5f03e8d9f52269a182d81	no	G2 audio-thread lifecycle	unregisters callbacks stops and deletes resources then blocks forever after exit
