module	metric	value
thread_ble_msgtx.c	retained_path	platform\threads\thread_ble_msgtx.c
thread_ble_msgtx.c	bounded_bodies	21
thread_ble_msgtx.c	body_bytes	3096
thread_ble_msgtx.c	body_concat_sha256	19c94266075784b6af0aaf084e5e515f67ce9a194a3ef9202d9d0626fd6028fb
thread_ble_msgtx.c	physical_interval	[0x00475290,0x00475FC0)
thread_ble_msgtx.c	physical_bytes	3376
thread_ble_msgtx.c	physical_sha256	7402dc013b7c00390e68c3881563f9a323e04dba0593bb7b6a2b0b0deca0808a
thread_ble_msgtx.c	data_island_bytes	280
thread_ble_msgtx.c	data_island_concat_sha256	f5b7678e5cb7bcfbcbc198f7910553c1df3a23393d8e7f4782d1aa93c2eea4eb
thread_ble_msgtx.c	task_attributes	[0x0075B85C,0x0075B880)
thread_ble_msgtx.c	task_attributes_sha256	f5ac5cb6f8198ff1f30b17bf044acd959f6032006ee8528e38f64fbeed3b94b4
thread_ble_msgtx.c	direct_bl_entry_sites	151
thread_ble_msgtx.c	direct_bl_entry_digest	c62731109eddb44adf76505c3b59c94ed79e5f0083f7d31d80799e1d94ddfd48
thread_ble_msgtx.c	direct_body_call_sites	190
thread_ble_msgtx.c	direct_body_call_digest	dc5fe8defc484a4133132e63607dea90ec3087b56bdf3691bd550bc89e6ae1b8
thread_ble_msgtx.c	stored_entry_pointer_digest	aa5c0247c9d0f1c62ff11e8a6ecc4242d73cb147f340bb56451efab7c9b48016
thread_ble_msgtx.c	stored_entry_pointers	0x00475E68->0x00475291;0x007940C8->0x00475349
thread_ble_msgtx.c	raw_strict_interior_lookalikes	5
thread_ble_msgtx.c	raw_strict_interior_lookalike_digest	93262d96d57bf9e9c32c99697efe1459260a7ff55d996a22ec9d2c5e95135dc3
thread_ble_msgtx.c	authenticated_strict_interior_pointers	0
thread_ble_msgtx.c	direct_bl_strict_interior_targets	0
thread_ble_msgtx.c	wide_branch_entry_targets	0
thread_ble_msgtx.c	control_block	0x20004020
thread_ble_msgtx.c	thread_name	ble_msgtx
thread_ble_msgtx.c	thread_stack	0x20047A98
thread_ble_msgtx.c	thread_priority	0x30
thread_ble_msgtx.c	retained_product_path	D:\01_workspace\s200_ap510b_iar_git\platform\threads\thread_ble_msgtx.c
thread_ble_msgrx.c	retained_path	platform\threads\thread_ble_msgrx.c
thread_ble_msgrx.c	bounded_bodies	13
thread_ble_msgrx.c	body_bytes	1390
thread_ble_msgrx.c	body_concat_sha256	755433ad80a06a3953d8719b87d16fd529a6579281b67561a77b9b0e35681e9b
thread_ble_msgrx.c	physical_interval	[0x0048EDB0,0x0048F3A4)
thread_ble_msgrx.c	physical_bytes	1524
thread_ble_msgrx.c	physical_sha256	8dd458f569db89c4a0588af573cb6091abed7e4be60c7ee2bb60e9e7ffcacf9d
thread_ble_msgrx.c	data_island_bytes	134
thread_ble_msgrx.c	data_island_concat_sha256	e0d4ba3f2daf67a70d1c10a840229613a06e8a8997871323b349d0a8d3a97fd4
thread_ble_msgrx.c	task_attributes	[0x0075B880,0x0075B8A4)
thread_ble_msgrx.c	task_attributes_sha256	066b8a116dcc04d3b199b03cc222a7abec42c36fd693e0b843f6004cdb0cab3b
thread_ble_msgrx.c	direct_bl_entry_sites	12
thread_ble_msgrx.c	direct_bl_entry_digest	87f15d649ae9e21536dd8aa8e8c22c507cad0081b0ab3d8e0f4a2dfc7d340fd7
thread_ble_msgrx.c	direct_body_call_sites	93
thread_ble_msgrx.c	direct_body_call_digest	68b94121555001b3a4e25769f709e2df0002556996d2a33feaa1d54029ef6801
thread_ble_msgrx.c	stored_entry_pointer_digest	96e852a35f3566a65a9b830a72bf49690e37942862003a63fc6beb8b9fc42ebb
thread_ble_msgrx.c	stored_entry_pointers	0x0048F340->0x0048EDB1;0x004C9C64->0x0048F12D
thread_ble_msgrx.c	excluded_unaligned_entry_lookalikes	0x00791D72->0x0048F12D;0x007940BD->0x0048EE69
thread_ble_msgrx.c	raw_strict_interior_lookalikes	26
thread_ble_msgrx.c	raw_strict_interior_lookalike_digest	05226e388332bbec1cbf51f5774115d783f4391497177d8078d45f1cb5d03deb
thread_ble_msgrx.c	authenticated_strict_interior_pointers	0
thread_ble_msgrx.c	excluded_false_bl_interior	0x0048DF70->0x0048F0CE (second halfword of SMULBB at 0x0048DF6E)
thread_ble_msgrx.c	direct_bl_strict_interior_targets	0
thread_ble_msgrx.c	wide_branch_entry_targets	0
thread_ble_msgrx.c	control_block	0x20003FFC
thread_ble_msgrx.c	thread_name	ble_msgrx
thread_ble_msgrx.c	thread_stack	0x2004BA98
thread_ble_msgrx.c	thread_priority	0x30
thread_ble_msgrx.c	retained_product_path	D:\01_workspace\s200_ap510b_iar_git\platform\threads\thread_ble_msgrx.c
