metric	value
retained_path	platform\threads\thread_input.c
linked_functions	23
ghidra_discovered_functions	5
additional_recovered_functions	18
path_anchored_functions	5
body_bytes	2090
body_concat_sha256	f5424e670bf76b7044cdfbdd4ae7f1f44630d56aa5522bf982856c9e97f9dd55
physical_interval	[0x00512C84,0x0051357C)
physical_bytes	2296
physical_sha256	cfeeef6ebfef4215bfdbb8264d21ee026eca20d3015351327dde42a8a3cce272
noncode_bytes	206
noncode_concat_sha256	a587e90a73dae96f13b85a3b3a5f96c80b75bc4fc8f17828b248569ab5551a06
reachable_instructions	785
reachable_instruction_digest	b2360d17d4068f27b623eb52a0b6ae0c97e8c12619ba15f035d9f5f27444fc86
direct_bl_entry_sites	20
direct_bl_entry_digest	3a362cb22181f771b2bc2b05ff430631c930503a64d9ece1cae04700d75deff1
stored_aligned_function_entry_pointers	1
raw_instruction_word_interior_collisions	0
direct_body_calls	140
internal_direct_body_calls	13
external_direct_body_calls	127
direct_body_call_digest	c25dbbe6749b7f90b78c07e1be2a2489763b059478a6b0e253c2bf97064581a0
indirect_body_calls	1
strict_interior_ingress	0
strict_interior_ingress_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
third_party_dependency	EasyLogger, IAR DLIB, exact CMSIS-FreeRTOS v10.5.1 wrappers, source-owned runtime wrapper, closed and frontier-open first-party providers only
private_producing_commit_observable	false
production_routed	false
